SkDg;typDg;kodDg;nazovDg
Trauma a poúrazové stavy ;akákoľvek;M0007;Artritída a polyartritída zapríčinená stafylokokmi, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M0008;Artritída a polyartritída zapríčinená stafylokokmi, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M0009;Artritída a polyartritída zapríčinená stafylokokmi, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M0010;Artritída a polyartritída zapríčinená pneumokokmi, na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M0011;Artritída a polyartritída zapríčinená pneumokokmi, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0012;Artritída a polyartritída zapríčinená pneumokokmi, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0013;Artritída a polyartritída zapríčinená pneumokokmi, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0014;Artritída a polyartritída zapríčinená pneumokokmi, v oblasti ruky (prsty, zápästie, záprstie, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M0015;Artritída a polyartritída zapríčinená pneumokokmi, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0016;Artritída a polyartritída zapríčinená pneumokokmi, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0017;Artritída a polyartritída zapríčinená pneumokokmi, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M0018;Artritída a polyartritída zapríčinená pneumokokmi, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M0019;Artritída a polyartritída zapríčinená pneumokokmi, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M0020;Artritída a polyartritída zapríčinená inými streptokokmi, na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M0021;Artritída a polyartritída zapríčinená inými streptokokmi, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0022;Artritída a polyartritída zapríčinená inými streptokokmi, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0023;Artritída a polyartritída zapríčinená inými streptokokmi, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0024;Artritída a polyartritída zapríčinená inými streptokokmi, v oblasti ruky (prsty, zápästie, záprstie, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M0025;Artritída a polyartritída zapríčinená inými streptokokmi, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0026;Artritída a polyartritída zapríčinená inými streptokokmi, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0027;Artritída a polyartritída zapríčinená inými streptokokmi, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M0028;Artritída a polyartritída zapríčinená inými streptokokmi, na inom mieste (hlava, krk, lebka, rebrá, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M0029;Artritída a polyartritída zapríčinená inými streptokokmi, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M0080;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami, na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M0081;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0082;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0083;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0084;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami, v oblasti ruky (prsty, zápästie, záprstie, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M0085;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0086;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb), zapríčinená inými bližšie určenými baktériami
Trauma a poúrazové stavy ;akákoľvek;M0087;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami: členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy),
Trauma a poúrazové stavy ;akákoľvek;M0088;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M0089;Artritída a polyartritída zapríčinená inými bližšie určenými baktériami, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M0090;Pyogénna artritída, bližšie neurčená, na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M0091;Pyogénna artritída, bližšie neurčená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0092;Pyogénna artritída, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0093;Pyogénna artritída, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0094;Pyogénna artritída, bližšie neurčená, v oblasti ruky (prsty, zápästie, záprstie, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M0095;Pyogénna artritída, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0096;Pyogénna artritída, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M0097;Pyogénna artritída, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M0098;Pyogénna artritída, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M0099;Pyogénna artritída, bližšie neurčená, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M1250;Úrazová artropatia na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M1251;Úrazová artropatia v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1252;Úrazová artropatia nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1253;Úrazová artropatia predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1254;Úrazová artropatia ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M1255;Úrazová artropatia panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1256;Úrazová artropatia predkolenia (ihlica, píšťala, kolenný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1257;Úrazová artropatia členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M1258;Úrazová artropatia na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M1259;Úrazová artropatia, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M164;Poúrazová artróza bedrového kĺbu, obojstranná
Trauma a poúrazové stavy ;akákoľvek;M165;Iná poúrazová koxartróza
Trauma a poúrazové stavy ;akákoľvek;M166;Iná sekundárna artróza bedrového kĺbu, obojstranná
Trauma a poúrazové stavy ;akákoľvek;M167;Iná sekundárna artróza bedrového kĺbu
Trauma a poúrazové stavy ;akákoľvek;M172;Poúrazová artróza kolenného kĺbu, obojstranná
Trauma a poúrazové stavy ;akákoľvek;M173;Iná poúrazová artróza kolenného kĺbu
Trauma a poúrazové stavy ;akákoľvek;M174;Iná sekundárna artróza kolenného kĺbu, obojstranná
Trauma a poúrazové stavy ;akákoľvek;M175;Iná sekundárna artróza kolenného kĺbu
Trauma a poúrazové stavy ;akákoľvek;M179;Artróza kolenného kĺbu, bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;M182;Poúrazová artróza prvého karpometakarpového kĺbu, obojstranná
Trauma a poúrazové stavy ;akákoľvek;M183;Iná poúrazová artróza prvého karpometakarpového kĺbu
Trauma a poúrazové stavy ;akákoľvek;M184;Iná sekundárna artróza prvého karpometakarpového kĺbu, obojstranná
Trauma a poúrazové stavy ;akákoľvek;M185;Iná sekundárna artróza prvého karpometakarpového kĺbu
Trauma a poúrazové stavy ;akákoľvek;M189;Artróza prvého karpometakarpového kĺbu, bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;M1911;Poúrazová artróza iných kĺbov v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1912;Poúrazová artróza iných kĺbov nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1913;Poúrazová artróza iných kĺbov v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1914;Poúrazová artróza iných kĺbov ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M1915;Poúrazová artróza iných kĺbov v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1917;Poúrazová artróza iných kĺbov členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M1918;Poúrazová artróza iných kĺbov na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M1919;Poúrazová artróza iných kĺbov, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M1921;Iná sekundárna artróza v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1922;Iná sekundárna artróza nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1923;Iná sekundárna artróza predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1924;Iná sekundárna artróza ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M1925;Iná sekundárna artróza panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1927;Iná sekundárna artróza členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M1928;Iná sekundárna artróza na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M1929;Iná sekundárna artróza, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M1919;Poúrazová artróza iných kĺbov, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M1921;Iná sekundárna artróza v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1922;Iná sekundárna artróza nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1923;Iná sekundárna artróza predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1924;Iná sekundárna artróza ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M1925;Iná sekundárna artróza panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1927;Iná sekundárna artróza členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M1928;Iná sekundárna artróza na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M1929;Iná sekundárna artróza, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M1991;Artróza, bližšie neurčená, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1992;Artróza, bližšie neurčená, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1993;Artróza, bližšie neurčená, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1994;Artróza, bližšie neurčená, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M1995;Artróza, bližšie neurčená, v panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M1997;Artróza, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M1998;Artróza, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M1999;Artróza, bližšie neurčená, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M200;Deformity jedného prsta alebo viacerých prstov
Trauma a poúrazové stavy ;akákoľvek;M201;Vbočený palec nohy [hallux valgus] (získaný)
Trauma a poúrazové stavy ;akákoľvek;M202;Stuhnutý palec nohy [hallux rigidus])
Trauma a poúrazové stavy ;akákoľvek;M203;Iná deformita palca nohy (získaná)
Trauma a poúrazové stavy ;akákoľvek;M204;Iný kladivkový prst (prsty) nohy (získaný)
Trauma a poúrazové stavy ;akákoľvek;M205;Iné deformity prsta (prstov) nohy (získané)
Trauma a poúrazové stavy ;akákoľvek;M206;Získaná deformita prsta (prstov), bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;M2100;Valgózna deformita [vbočenie], nezatriedená inde, na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M2101;Valgózna deformita [vbočenie], nezatriedená inde, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2102;Valgózna deformita [vbočenie], nezatriedená inde, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2103;Valgózna deformita [vbočenie], nezatriedená inde, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2104;Valgózna deformita [vbočenie], nezatriedená inde, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M2105;Valgózna deformita [vbočenie], nezatriedená inde, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2106;Valgózna deformita [vbočenie], nezatriedená inde, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2107;Valgózna deformita [vbočenie], nezatriedená inde, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M2108;Valgózna deformita [vbočenie], nezatriedená inde, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M2109;Valgózna deformita [vbočenie], nezatriedená inde, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M2110;Varózna deformita [vybočenie], nezatriedená inde, na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M2111;Varózna deformita [vybočenie], nezatriedená inde, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2112;Varózna deformita [vybočenie], nezatriedená inde, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2113;Varózna deformita [vybočenie], nezatriedená inde, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2114;Varózna deformita [vybočenie], nezatriedená inde, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M2115;Varózna deformita [vybočenie], nezatriedená inde, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2116;Varózna deformita [vybočenie], nezatriedená inde, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2117;Varózna deformita [vybočenie], nezatriedená inde, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M2118;Varózna deformita [vybočenie], nezatriedená inde, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M2119;Varózna deformita [vybočenie], nezatriedená inde, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M2120;Flekčná deformita na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M2121;Flekčná deformita v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2122;Flekčná deformita nadlaktia (ramenná kosť, lakťový kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2123;Flekčná deformita predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2124;Flekčná deformita ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)
Trauma a poúrazové stavy ;akákoľvek;M2125;Flekčná deformita panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2126;Flekčná deformita predkolenia (ihlica, píšťala, kolenný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2127;Flekčná deformita členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M2128;Flekčná deformita na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)
Trauma a poúrazové stavy ;akákoľvek;M2129;Flekčná deformita, miesto bližšie neurčené
Trauma a poúrazové stavy ;akákoľvek;M2130;Ovisnuté zápästie alebo noha (získané), na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M2133;Ovisnuté zápästie (získané) s postihnutím predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)
Trauma a poúrazové stavy ;akákoľvek;M2137;Ovisnutá noha (získaná) s postihnutím členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)
Trauma a poúrazové stavy ;akákoľvek;M2140;Plochá noha statická [Pes planus staticus]
Trauma a poúrazové stavy ;akákoľvek;M2141;Plochá noha fixovaná [Pes planus fixatus]
Trauma a poúrazové stavy ;akákoľvek;M2142;Plochá noha kontrahovaná [Pes planus contractus]
Trauma a poúrazové stavy ;akákoľvek;M2143;Priečneplochá noha [Pes transversoplanus]
Trauma a poúrazové stavy ;akákoľvek;M2144;Plochá noha [Pes planus], bližšie neurčená
Trauma a poúrazové stavy ;akákoľvek;M2150;Získaná pazúrovitá ruka a krátka ruka [talipomanus], získaná pazúrovitá noha a konská noha [talipes] na viacerých miestach
Trauma a poúrazové stavy ;akákoľvek;M2154;Získaná pazúrovitá ruka a krátka ruka [talipomanus]
