kodHDg;nazovHDg;kodMS;nazovMS
A169;Tuberkulóza dýchacej sústavy, bez údaja o bakteriologickom, molekulovobiologickom alebo histologickom potvrdení, bližšie neurčená;S65-01;Tuberkulóza
A170;Tuberkulózna meningitída (G01*);S65-01;Tuberkulóza
A171;Meningový tuberkulóm (G07*);S65-01;Tuberkulóza
A178;Iná tuberkulóza nervovej sústavy;S65-01;Tuberkulóza
A179;Tuberkulóza nervovej sústavy, bližšie neurčená;S65-01;Tuberkulóza
A180;Tuberkulóza kostí a kĺbov;S65-01;Tuberkulóza
A181;Tuberkulóza močovopohlavnej sústavy;S65-01;Tuberkulóza
A182;Tuberkulózna periférna lymfadenopatia;S65-01;Tuberkulóza
A183;Tuberkulóza čriev, peritonea a mezentériových lymfatických uzlín;S65-01;Tuberkulóza
A184;Tuberkulóza kože a podkožného tkaniva;S65-01;Tuberkulóza
A185;Tuberkulóza oka;S65-01;Tuberkulóza
A186;Tuberkulóza ucha;S65-01;Tuberkulóza
A187;Tuberkulóza nadobličiek (E35.1*);S65-01;Tuberkulóza
A188;Tuberkulóza iných bližšie určených orgánov;S65-01;Tuberkulóza
A190;Akútna miliárna tuberkulóza na jedinom bližšie určenom mieste;S65-01;Tuberkulóza
A191;Akútna miliárna tuberkulóza na viacerých miestach;S65-01;Tuberkulóza
A192;Akútna miliárna tuberkulóza, bližšie neurčená;S65-01;Tuberkulóza
A198;Iná miliárna tuberkulóza;S65-01;Tuberkulóza
A199;Miliárna tuberkulóza, bližšie neurčená;S65-01;Tuberkulóza
A200;Bubonický mor;S71-02;Infekčné ochorenia
A201;Kožná forma moru;S71-02;Infekčné ochorenia
A202;Pľúcna forma moru;S65-06;Iné infekcie a zápaly dýchacích orgánov III
A203;Morová meningitída;S73-32;Infekcia nervového systému
A207;Septikemická forma moru;S71-03;Sepsa II
A208;Iná forma moru;S71-02;Infekčné ochorenia
A209;Bližšie neurčený mor;S71-02;Infekčné ochorenia
A210;Ulceroglandulárna tularémia;S71-02;Infekčné ochorenia
A211;Okuloglandulárna tularémia;S71-02;Infekčné ochorenia
A212;Pľúcna tularémia;S65-06;Iné infekcie a zápaly dýchacích orgánov III
A213;Gastrointestinálna tularémia;S66-09;Iné ochorenia GIT III
A217;Generalizovaná tularémia;S71-03;Sepsa II
A2181;Glandulárna tularémia;S71-08;Iné infekčné ochorenia
A2182;Orofaryngeálna tularémia;S71-08;Iné infekčné ochorenia
A2189;Iná forma tularémie;S71-08;Iné infekčné ochorenia
A219;Tularémia, bližšie neurčená;S71-08;Iné infekčné ochorenia
A220;Kožný antrax;S61-01;Závažné ochorenia kože
A221;Pľúcny antrax;S65-06;Iné infekcie a zápaly dýchacích orgánov III
A222;Gastrointestinálny antrax;S66-09;Iné ochorenia GIT III
A227;Antraxová sepsa;S71-03;Sepsa II
A228;Iná forma antraxu;S71-02;Infekčné ochorenia
A229;Bližšie neurčený antrax;S71-02;Infekčné ochorenia
A230;Brucelóza zapríčinená Brucella melitensis;S71-08;Iné infekčné ochorenia
A231;Brucelóza zapríčinená Brucella abortus;S71-08;Iné infekčné ochorenia
A232;Brucelóza zapríčinená Brucella suis;S71-08;Iné infekčné ochorenia
A233;Brucelóza zapríčinená Brucella canis;S71-08;Iné infekčné ochorenia
A238;Iná brucelóza;S71-08;Iné infekčné ochorenia
A239;Brucelóza, bližšie neurčená;S71-08;Iné infekčné ochorenia
A240;Sopľavka;S71-07;Sepsa
A241;Akútna alebo fulminantná melioidóza;S71-07;Sepsa
A242;Subakútna a chronická melioidóza;S71-08;Iné infekčné ochorenia
A243;Iná melioidóza;S71-08;Iné infekčné ochorenia
A244;Melioidóza, bližšie neurčená;S71-08;Iné infekčné ochorenia
A250;Spirilóza;S71-08;Iné infekčné ochorenia
A251;Streptobacilóza;S71-08;Iné infekčné ochorenia
A259;Horúčka po uhryznutí potkanom, bližšie neurčená;S71-08;Iné infekčné ochorenia
A260;Kožný eryzipeloid;S61-02;Infekcia/zápal kože a podkožia
A267;Eryzipelotrixová sepsa;S71-07;Sepsa
A268;Iná forma eryzipeloidu;S71-08;Iné infekčné ochorenia
A269;Bližšie neurčený eryzipeloid;S71-08;Iné infekčné ochorenia
A270;Leptospiróza zapríčinená Leptospira icterohaemorrhagiae [Weilova choroba];S71-07;Sepsa
A278;Iná forma leptospirózy;S73-32;Infekcia nervového systému
A279;Leptospiróza, bližšie neurčená;S71-08;Iné infekčné ochorenia
A280;Pasteurelóza;S71-08;Iné infekčné ochorenia
A281;Choroba z mačacieho škrabnutia;S71-08;Iné infekčné ochorenia
A282;Extraintestinálna yersinióza;S71-08;Iné infekčné ochorenia
A288;Iná baktériová zoonóza, bližšie určená, nezatriedená inde;S71-08;Iné infekčné ochorenia
A289;Baktériová zoonóza, bližšie neurčená;S71-08;Iné infekčné ochorenia
A300;Neurčená [indeterminate] lepra;S71-02;Infekčné ochorenia
A301;Tuberkuloidná lepra;S71-02;Infekčné ochorenia
A302;Hraničná [borderline] tuberkuloidná lepra;S71-02;Infekčné ochorenia
A303;Hraničná [borderline] lepra;S71-02;Infekčné ochorenia
A304;Hraničná [borderline] lepromatózna lepra;S71-02;Infekčné ochorenia
A305;Lepromatózna lepra;S71-02;Infekčné ochorenia
A308;Iná forma lepry;S71-02;Infekčné ochorenia
A309;Lepra, bližšie neurčená;S71-02;Infekčné ochorenia
A310;Pľúcna mykobakterióza;S65-10;Iné ochorenie dýchacích orgánov III
A311;Kožná mykobakterióza;S61-01;Závažné ochorenia kože
A3180;Diseminovaná atypická mykobakterióza;S71-02;Infekčné ochorenia
A3188;Iná infekcia zapríčinená mykobaktériou;S71-02;Infekčné ochorenia
A319;Mykobaktériová infekcia, bližšie neurčená;S71-02;Infekčné ochorenia
A320;Kožná listerióza;S71-02;Infekčné ochorenia
A321;Listériová meningitída a meningoencefalitída;S73-32;Infekcia nervového systému
A327;Listériová sepsa;S71-03;Sepsa II
A328;Iná forma listeriózy;S71-02;Infekčné ochorenia
A329;Listerióza, bližšie neurčená;S71-02;Infekčné ochorenia
A33;Tetanus novorodencov;S63-08;Hospitalizacia novorodenca II
A34;Tetanus počas gravidity, pôrodu a v šestonedelí;S11-18;Hospitalizácia po pôrode
A35;Iný tetanus;S71-02;Infekčné ochorenia
A360;Hltanová diftéria;S53-30;Iné ochorenia ucha, nosa, úst a krku
A361;Nosohltanová diftéria;S53-30;Iné ochorenia ucha, nosa, úst a krku
A362;Hrtanová diftéria;S53-30;Iné ochorenia ucha, nosa, úst a krku
A363;Kožná diftéria;S61-01;Závažné ochorenia kože
A368;Iná diftéria;S71-02;Infekčné ochorenia
A369;Bližšie neurčená diftéria;S71-02;Infekčné ochorenia
A370;Pertussis zapríčinený Bordetella pertussis;S65-29;Iné infekcie a zápaly dýchacích orgánov I 
A371;Pertussis zapríčinený Bordetella parapertussis;S65-29;Iné infekcie a zápaly dýchacích orgánov I 
A378;Pertussis zapríčinený iným druhom bordetely;S65-29;Iné infekcie a zápaly dýchacích orgánov I 
A379;Pertussis, bližšie neurčený;S65-29;Iné infekcie a zápaly dýchacích orgánov I 
A38;Scarlatina [Šarlach];S71-08;Iné infekčné ochorenia
A390;Meningokoková meningitída (G01*);S73-32;Infekcia nervového systému
A391;Waterhouseov-Friderichsenov syndróm (E35.1*);S71-03;Sepsa II
A392;Akútna meningokoková sepsa;S71-03;Sepsa II
A393;Chronická meningokoková sepsa;S71-03;Sepsa II
A394;Meningokoková sepsa, bližšie neurčená;S71-03;Sepsa II
A395;Meningokokové ochorenie srdca;S64-28;Iné ochorenia obehového systému
A398;Iná meningokoková infekcia;S71-03;Sepsa II
A399;Meningokoková infekcia, bližšie neurčená;S71-03;Sepsa II
A400;Sepsa zapríčinená streptokokom zo skupiny A;S71-07;Sepsa
A401;Sepsa zapríčinená streptokokom zo skupiny B;S71-07;Sepsa
A402;Sepsa zapríčinená streptokokom zo skupiny D;S71-07;Sepsa
A403;Sepsa zapríčinená Streptococcus pneumoniae;S71-07;Sepsa
A4081;Sepsa zapríčinená streptokokom zo skupiny C;S71-07;Sepsa
A4089;Iná streptokoková sepsa;S71-07;Sepsa
A409;Sepsa zapríčinená streptokokmi, bližšie neurčená;S71-07;Sepsa
A410;Sepsa zapríčinená Staphylococcus aureus;S71-07;Sepsa
A411;Sepsa zapríčinená iným bližšie určeným stafylokokom;S71-07;Sepsa
A412;Sepsa zapríčinená bližšie neurčeným stafylokokom;S71-07;Sepsa
A413;Sepsa zapríčinená Haemophilus influenzae;S71-07;Sepsa
A414;Sepsa zapríčinená anaeróbnou baktériou;S71-07;Sepsa
A4151;Sepsa zapríčinená Escherichia coli [E. coli];S71-07;Sepsa
A4152;Sepsa zapríčinená pseudomonas;S71-07;Sepsa
A4153;Sepsa zapríčinená multirezistentnou gramnegatívnou baktériou;S71-07;Sepsa
A4158;Sepsa zapríčinená inou gramnegatívnou baktériou;S71-07;Sepsa
A4181;Sepsa zapríčinená multirezistentnou grampozitívnou baktériou;S71-07;Sepsa
A4189;Iná sepsa, bližšie určená;S71-07;Sepsa
A419;Sepsa, bližšie neurčená;S71-07;Sepsa
A420;Pľúcna aktinomykóza;S65-06;Iné infekcie a zápaly dýchacích orgánov III
A421;Brušná aktinomykóza;S66-09;Iné ochorenia GIT III
A422;Cervikofaciálna aktinomykóza;S61-01;Závažné ochorenia kože
A427;Aktinomykotická sepsa;S71-03;Sepsa II
A428;Iná forma aktinomykózy;S71-02;Infekčné ochorenia
A429;Aktinomykóza, bližšie neurčená;S71-02;Infekčné ochorenia
A430;Pľúcna nokardióza;S65-10;Iné ochorenie dýchacích orgánov III
A431;Kožná nokardióza;S61-01;Závažné ochorenia kože
A438;Iná forma nokardiózy;S71-08;Iné infekčné ochorenia
A439;Bližšie neurčená nokardióza;S71-08;Iné infekčné ochorenia
A440;Systémová bartonelóza;S71-07;Sepsa
A441;Kožná a mukokutánna bartonelóza;S71-08;Iné infekčné ochorenia
A448;Iná forma bartonelózy;S71-08;Iné infekčné ochorenia
A449;Bartonelóza, bližšie neurčená;S71-08;Iné infekčné ochorenia
A46;Eryzipel [Erysipelas, Ruža];S61-02;Infekcia/zápal kože a podkožia
A480;Plynová gangréna;S63-01;Plynová gangréna
A481;Legionelóza s pneumóniou [Legionárska choroba];S65-20;Iné infekcie a zápaly dýchacích orgánov II 
A482;Legionelóza bez pneumónie [Pontiacka horúčka];S65-29;Iné infekcie a zápaly dýchacích orgánov I 
A483;Syndróm toxického šoku;S71-07;Sepsa
A484;Brazílska purpurová horúčka;S71-08;Iné infekčné ochorenia
A488;Iná baktériová choroba, bližšie určená;S71-08;Iné infekčné ochorenia
A490;Stafylokoková infekcia bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
A491;Streptokoková infekcia bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
A492;Infekcia haemophilus influenzae bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
A493;Mykoplazmová infekcia bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
A498;Iná baktériová infekcia bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
A499;Bližšie neurčená baktériová infekcia, bez bližšieho určenia miesta;S71-08;Iné infekčné ochorenia
A500;Včasný vrodený syfilis, symptomatický;S61-01;Závažné ochorenia kože
A501;Včasný vrodený syfilis, latentný;S61-01;Závažné ochorenia kože
A502;Včasný vrodený syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
A503;Neskorá vrodená syfilitická okulopatia;S62-43;Infekcie a zápaly oka a očných adnexov
A504;Neskorý vrodený neurosyfilis [Juvenilný neurosyfilis];S73-32;Infekcia nervového systému
A505;Iný neskorý vrodený syfilis, symptomatický;S61-01;Závažné ochorenia kože
A506;Neskorý vrodený syfilis, latentný;S61-01;Závažné ochorenia kože
A507;Neskorý vrodený syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
A509;Vrodený syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
A510;Primárny genitálny syfilis;S61-01;Závažné ochorenia kože
A511;Primárny análny syfilis;S61-01;Závažné ochorenia kože
A512;Primárny syfilis na inom mieste;S61-01;Závažné ochorenia kože
A513;Sekundárny syfilis kože a slizníc;S61-01;Závažné ochorenia kože
A514;Iná forma sekundárneho syfilisu;S61-01;Závažné ochorenia kože
A515;Včasný syfilis, latentný;S61-01;Závažné ochorenia kože
A519;Včasný syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
A520;Kardiovaskulárny syfilis;S64-28;Iné ochorenia obehového systému
A521;Neurosyfilis, symptomatický;S73-32;Infekcia nervového systému
A522;Neurosyfilis, asymptomatický;S73-32;Infekcia nervového systému
A523;Neurosyfilis, bližšie neurčený;S73-32;Infekcia nervového systému
A527;Neskorý syfilis, symptomatický, iná forma;S61-01;Závažné ochorenia kože
A528;Neskorý syfilis, latentný;S61-01;Závažné ochorenia kože
A529;Neskorý syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
A530;Latentný syfilis, bližšie neurčený ako včasný alebo neskorý;S61-01;Závažné ochorenia kože
A539;Syfilis, bližšie neurčený;S61-01;Závažné ochorenia kože
A540;Gonokoková infekcia dolných častí močovopohlavnej sústavy bez abscesu uretrových alebo predsieňových žliaz;S59-55;Iné ochorenia mužských pohlavných orgánov
A541;Gonokoková infekcia dolných častí močovopohlavnej sústavy s abscesom uretrových a predsieňových žliaz;S59-55;Iné ochorenia mužských pohlavných orgánov
A542;Gonokoková pelveoperitonitída a iná gonokoková močovopohlavná infekcia;S59-55;Iné ochorenia mužských pohlavných orgánov
A543;Gonokoková infekcia oka;S62-43;Infekcie a zápaly oka a očných adnexov
A544;Gonokoková infekcia svalovo-kostrovej sústavy;S61-02;Infekcia/zápal kože a podkožia
A545;Gonokoková faryngitída;S63-40;Zápal stredného ucha alebo infekcia horných dýchacích ciest
A546;Gonokoková infekcia anusu a rekta;S66-09;Iné ochorenia GIT III
A548;Iná gonokoková infekcia;S61-01;Závažné ochorenia kože
A549;Gonokoková infekcia, bližšie neurčená;S61-01;Závažné ochorenia kože
A55;Lymphogranuloma venereum (chlamýdiový);S59-55;Iné ochorenia mužských pohlavných orgánov
A560;Chlamýdiová infekcia dolných častí močovopohlavnej sústavy;S59-55;Iné ochorenia mužských pohlavných orgánov
A561;Chlamýdiová infekcia panvovej pobrušnice a močovopohlavných orgánov;S59-55;Iné ochorenia mužských pohlavných orgánov
A562;Chlamýdiová infekcia močovopohlavnej sústavy, bližšie neurčená;S59-55;Iné ochorenia mužských pohlavných orgánov
A563;Chlamýdiová infekcia anusu a rekta;S66-09;Iné ochorenia GIT III
A564;Chlamýdiová infekcia faryngu;S63-40;Zápal stredného ucha alebo infekcia horných dýchacích ciest
A568;Pohlavne prenosná chlamýdiová infekcia na iných miestach;S59-55;Iné ochorenia mužských pohlavných orgánov
A57;Mäkký vred [ulcus molle];S59-55;Iné ochorenia mužských pohlavných orgánov
A58;Granuloma venereum (inguinale);S59-55;Iné ochorenia mužských pohlavných orgánov
A590;Urogenitálna trichomonóza;S59-55;Iné ochorenia mužských pohlavných orgánov
A598;Trichomonóza na iných miestach;S61-01;Závažné ochorenia kože
A599;Trichomonóza, bližšie neurčená;S61-01;Závažné ochorenia kože
A600;Infekcia genitálií a močovopohlavnej sústavy zapríčinená herpetickým vírusom;S59-55;Iné ochorenia mužských pohlavných orgánov
A601;Infekcia perianálnej kože a rekta zapríčinená herpetickým vírusom;S59-55;Iné ochorenia mužských pohlavných orgánov
A609;Anogenitálna infekcia zapríčinená herpetickým vírusom, bližšie neurčená;S59-55;Iné ochorenia mužských pohlavných orgánov
A638;Iná prevažne pohlavne prenosná choroba, bližšie určená;S59-55;Iné ochorenia mužských pohlavných orgánov
A64;Pohlavne prenosná choroba, bližšie neurčená;S59-55;Iné ochorenia mužských pohlavných orgánov
A65;Nevenerický syfilis;S61-01;Závažné ochorenia kože
A660;Primárna lézia pri frambézii;S61-04;Iné ochorenia kože, podkožia a slizníc
A661;Mnohopočetné papilómy a vlhká plazivá frambézia;S61-04;Iné ochorenia kože, podkožia a slizníc
A662;Iné počiatočné lézie kože pri frambézii;S61-01;Závažné ochorenia kože
A663;Hyperkeratóza pri frambézii;S61-01;Závažné ochorenia kože
A664;Gumy a vredy pri frambézii;S61-01;Závažné ochorenia kože
A665;Gangóza;S53-30;Iné ochorenia ucha, nosa, úst a krku
A666;Kostné a kĺbové lézie pri frambézii;S56-45;Iné ochorenia pohybového systému
A667;Iné prejavy frambézie;S71-02;Infekčné ochorenia
A668;Latentná frambézia;S71-02;Infekčné ochorenia
A669;Bližšie neurčená frambézia;S71-02;Infekčné ochorenia
A670;Pinta, primárne lézie;S61-04;Iné ochorenia kože, podkožia a slizníc
A671;Pinta, stredne pokročilé lézie;S61-04;Iné ochorenia kože, podkožia a slizníc
A672;Pinta, neskoré lézie;S61-04;Iné ochorenia kože, podkožia a slizníc
A673;Pinta, zmiešané lézie;S61-04;Iné ochorenia kože, podkožia a slizníc
A679;Pinta, bližšie neurčená;S61-04;Iné ochorenia kože, podkožia a slizníc
A680;Návratná horúčka prenášaná všami;S71-08;Iné infekčné ochorenia
A681;Návratná horúčka prenášaná kliešťami;S71-08;Iné infekčné ochorenia
A689;Návratná horúčka, bližšie neurčená;S71-08;Iné infekčné ochorenia
A690;Nekrotizujúca ulcerózna stomatitída;S63-40;Zápal stredného ucha alebo infekcia horných dýchacích ciest
A691;Iná fusospirochetóza;S63-40;Zápal stredného ucha alebo infekcia horných dýchacích ciest
A6921;Lymská choroba - včasná diseminovaná infekcia, kožná forma;S71-08;Iné infekčné ochorenia
A6922;Lymská choroba - včasná neuroborelióza;S71-08;Iné infekčné ochorenia
A6923;Lymská karditída;S71-08;Iné infekčné ochorenia
A6924;Lymská artritída;S71-08;Iné infekčné ochorenia
A6925;Lymská choroba - očná forma;S71-08;Iné infekčné ochorenia
A6926;Lymská choroba - chronická neuroborelióza;S71-08;Iné infekčné ochorenia
A6927;Lymská choroba - Acrodermatitis chronica atroficans;S71-08;Iné infekčné ochorenia
A6929;Iná Lymská choroba;S71-08;Iné infekčné ochorenia
A698;Iná infekcia zapríčinená spirochétami, bližšie určená;S71-08;Iné infekčné ochorenia
A699;Infekcia zapríčinená spirochétami, bližšie neurčená;S71-08;Iné infekčné ochorenia
A70;Infekcia zapríčinená Chlamydia psittaci;S65-20;Iné infekcie a zápaly dýchacích orgánov II 
A710;Trachóm, začiatočné štádium;S62-43;Infekcie a zápaly oka a očných adnexov
A711;Trachóm, aktívne štádium;S62-43;Infekcie a zápaly oka a očných adnexov
A719;Trachóm, bližšie neurčený;S62-43;Infekcie a zápaly oka a očných adnexov
A740;Chlamýdiový zápal spojoviek;S62-43;Infekcie a zápaly oka a očných adnexov
A7481;Chlamýdiová dilatačná kardiomyopatia;S71-09;Iné vírusové ochorenia
A7482;Chlamýdiová myokarditída;S71-09;Iné vírusové ochorenia
A7483;Chlamýdiová endokarditída;S71-09;Iné vírusové ochorenia
A7484;Chlamýdiová artritída;S71-09;Iné vírusové ochorenia
A7489;Iná chlamýdiová choroba;S71-08;Iné infekčné ochorenia
A749;Chlamýdiová infekcia, bližšie neurčená;S71-09;Iné vírusové ochorenia
A750;Škvrnitý týfus prenášaný všami zapríčinený Rickettsia prowazeki;S71-08;Iné infekčné ochorenia
A751;Návratný škvrnitý týfus [Brillova choroba];S71-08;Iné infekčné ochorenia
A752;Škvrnitý týfus zapríčinený Rickettsia typhi [Riketsia mooseri];S71-08;Iné infekčné ochorenia
A753;Škvrnitý týfus zapríčinený Rickettsia tsutsugamushi [Rickettsia orientalis];S71-08;Iné infekčné ochorenia
A759;Škvrnitý týfus, bližšie neurčený;S71-08;Iné infekčné ochorenia
A770;Škvrnitá horúčka zapríčinená Rickettsia rickettsii;S71-08;Iné infekčné ochorenia
A771;Škvrnitá horúčka zapríčinená Rickettsia conorii;S71-08;Iné infekčné ochorenia
A772;Škvrnitá horúčka zapríčinená Rickettsia sibirica;S71-08;Iné infekčné ochorenia
A773;Škvrnitá horúčka zapríčinená Rickettsia australis;S71-08;Iné infekčné ochorenia
A778;Iná škvrnitá horúčka;S71-08;Iné infekčné ochorenia
A779;Škvrnitá horúčka, bližšie neurčená;S71-08;Iné infekčné ochorenia
A78;Q-horúčka;S71-07;Sepsa
A790;Volynská (zákopová) horúčka;S71-08;Iné infekčné ochorenia
