kodHVyk;nazovHVyk;kodMS;nazovMS;Dgs
5l5245;Bajpasové operácie aorty pomocou protézy, aortofemorálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5246;Bajpasové operácie aorty pomocou protézy, aortopopliteálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5247;Bajpasové operácie aorty pomocou protézy, aorto-viscerálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5248;Bajpasové operácie aorty pomocou protézy, aortobiiliakálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5249;Bajpasové operácie aorty pomocou protézy, aortobifemorálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l524x;Bajpasové operácie aorty pomocou protézy, ostatné;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5250;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, iliakoiliakálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l52500;Bajpasové operácie pomocou protézy, cross-bajpas iliakoiliakálny;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5251;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, iliakofemorálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l52510;Bajpasové operácie pomocou protézy, cross-bajpas iliakofemorálny;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5252;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, iliakopopliteálny bajpas bez špecifikácie;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5253;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, iliakopopliteálny bajpas nad kolenom;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5254;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, iliakopopliteálny bajpas pod kolenom;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5255;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, iliakokrurálny bajpas;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5256;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, obturátorový bajpas extraanatomicky;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5257;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, a renalis;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5258;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, iné viscerálnej tepny;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l525x;Bajpasové operácie a iliaca a viscerálnej tepny pomocou protézy, ostatné;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5331;Plastika záplatou [patch plastika] abdominálnej aorty ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l533x;Plastika záplatou [patch plastika] aorty, ostatné;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5350;Plastika záplatou [patch plastika] bližšie neurčenej časti a iliaca ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5351;Plastika záplatou [patch plastika] a iliaca communis ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5352;Plastika záplatou [patch plastika] a iliaca externa ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5353;Plastika záplatou [patch plastika] a iliaca interna ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5354;Plastika záplatou [patch plastika] cievnej protézy tepny panvy a trupu ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C25, C22, C494, C62, C762
5l535x;Plastika záplatou [patch plastika] tepny panvy a trupu, ostatné;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5360;Plastika záplatou [patch plastika] truncus coeliacus ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C25, C22, C494, C62, C762
5l5361;Plastika záplatou [patch plastika] a hepatica ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C25, C22, C494, C62, C762
5l5362;Plastika záplatou [patch plastika] a gastrica ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5363;Plastika záplatou [patch plastika] a lienalis ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5364;Plastika záplatou [patch plastika] a renalis ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5365;Plastika záplatou [patch plastika] a mesenterica superior ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C25, C22, C494, C62, C762
5l5366;Plastika záplatou [patch plastika] a mesenterica inferior ;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C25, C22, C494, C62, C762
5l536x;Plastika záplatou [patch plastika] viscerálnej tepny, ostatné;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5450;Transpozícia bližšie neurčenej časti a iliaca;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5451;Transpozícia a iliaca externa;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5452;Transpozícia a iliaca interna;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l545x;Transpozícia tepny panvy a trupu, ostané;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5460;Transpozícia a hepatica;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C25, C22, C494, C62, C762
5l5461;Transpozícia a gastrica;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5462;Transpozícia a lienalis;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C25 C494, C62, C762
5l5463;Transpozícia a renalis;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5464;Transpozícia a mesenterica superior;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l5465;Transpozícia a mesenterica inferior;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l546x;Transpozícia viscerálnej tepny, ostatné;S44-06;Operačné výkony na cievach - aortoiliacká oblasť - onko;C484, C488, C494, C62, C762
5l1592;Resekcia pseudoaneuryziem v portae;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l1593;Resekcia pseudoaneuryziem v gastrica;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l1594;Resekcia pseudoaneuryziem v lienalis;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l1595;Resekcia pseudoaneuryziem v mesenterica superior;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C25, C494, C62, C762
5l1596;Resekcia pseudoaneuryziem v mesenterica inferior;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C25, C494, C62, C762
5l1597;Resekcia pseudoaneuryziem v hepaticae;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l1598;Resekcia pseudoaneuryziem v renalis;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l15b0;Resekcia v cava inferior s protetickou náhradou - infrarenálny úsek;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l15b1;Resekcia v cava inferior s protetickou náhradou - suprarenálny úsek;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l15b2;Resekcia v cava inferior bez použitia protetického materiálu;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l15x;Resekcia pseudoaneuryziem, ostatné;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l529;Bajpasové operácie žily pomocou protézy ;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l5392;Plastika záplatou [patch plastika] v portae ;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l5393;Plastika záplatou [patch plastika] v gastrica ;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l5394;Plastika záplatou [patch plastika] v lienalis ;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l5395;Plastika záplatou [patch plastika] v mesenterica superior;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l5396;Plastika záplatou [patch plastika] v mesenterica inferior ;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l5397;Plastika záplatou [patch plastika] vv hepaticae;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l5398;Plastika záplatou [patch plastika] v renalis;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l539f;Plastika záplatou [patch plastika] v cava inferior;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l539g;Plastika záplatou [patch plastika] v iliaca communis ;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l539h;Plastika záplatou [patch plastika] v iliaca externa ;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l539i;Plastika záplatou [patch plastika] v iliaca interna ;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l539x;Plastika záplatou [patch plastika] hĺbkovej žily, ostatné;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l53a0;Plastika záplatou [patch plastika] na povrchových žilách hlavy a krku ;S44-07;Operačné výkony na cievach - vény a iné - onko;C484, C488, C494, C62, C762
5l5700;Revízie v cievnej chirurgii pre krvácanie, chirurgická liečba krvácania po cievnej rekonštrukcii;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5701;Revízie v cievnej chirurgii pre krvácanie, revízia anastomóz;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5702;Revízie v cievnej chirurgii pre krvácanie, revízia cievneho graftu;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5703;Revízie v cievnej chirurgii pre krvácanie, výmena cievneho graftu;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5704;Revízie v cievnej chirurgii pre krvácanie, odstránenie cievneho graftu;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5705;Revízie v cievnej chirurgii pre krvácanie, revízia arterio-venózneho shuntu;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5706;Revízie v cievnej chirurgii pre krvácanie, uzáver arterio-venózneho shuntu;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5707;Revízie v cievnej chirurgii pre krvácanie, výmena kardiálneho konduitu;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l570x;Revízie v cievnej chirurgii pre krvácanie, ostatné;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5710;Revízie v cievnej chirurgii pre infekciu, chirurgická liečba krvácania pri infekcii cievnej protézy;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5711;Revízie v cievnej chirurgii pre infekciu, revízia anastomóz;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5712;Revízie v cievnej chirurgii pre infekciu, revízia cievneho graftu;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5713;Revízie v cievnej chirurgii pre infekciu, výmena cievneho graftu;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l5714;Revízie v cievnej chirurgii pre infekciu, odstránenie cievneho graftu;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5l591x;Iné operácie na cievach, ostatné;S44-01;Iné výkony na cievach - onko;C484, C488, C494, C62, C762
5q0010;Enukleácia ovariálnej cysty, laparotomicky;S44-62;Výkony na vaječníkoch a vajíčkovodoch - komplexné - onko;C56, D27, D282, 
5q0130;Radikálna ovarektómia (sekundárny debulking- cytoredukcia), laparotomicky;S44-40;Onkologické výkony - ováriá - onko;C56, D27, D282, C55, D069
5q0134;Radikálna ovarektómia (sekundárny debulking- cytoredukcia), laparoskopicky;S44-40;Onkologické výkony - ováriá - onko;C56, D27, D282, C55, D069
5q0138;Radikálna ovarektómia (sekundárny debulking- cytoredukcia), roboticky;S44-40;Onkologické výkony - ováriá - onko;C56, D27, D282, C55, D069
5q0140;Radikálna ovarektómia, laparotomicky;S44-40;Onkologické výkony - ováriá - onko;C56, D27, D282, C55, D069
5q0144;Radikálna ovarektómia, laparoskopicky;S44-40;Onkologické výkony - ováriá - onko;C56, D27, D282, C55, D069
5q0148;Radikálna ovarektómia, roboticky;S44-40;Onkologické výkony - ováriá - onko;C56, D27, D282, C55, D069
5q2210;Radikálna trachelektómia a detekcia sentinelových lymfatických uzlín, laparotomicky;S44-38;Onkologické výkony - krčok uteru - onko;D067, C58, 
5q2211;Radikálna trachelektómia a detekcia sentinelových lymfatických uzlín, vaginálne s laparoskopickou asistenciou;S44-38;Onkologické výkony - krčok uteru - onko;D067, C58, 
5q2214;Radikálna trachelektómia a detekcia sentinelových lymfatických uzlín, laparoskopicky;S44-38;Onkologické výkony - krčok uteru - onko;D067, C58, 
5q2217;Radikálna trachelektómia a detekcia sentinelových lymfatických uzlín, vaginálne;S44-38;Onkologické výkony - krčok uteru - onko;D067, C58, 
5q4050;Pelvická exenterácia, laparotomicky;S44-39;Onkologické výkony - lymfatické uzliny - onko;C485, C488, C20, C58, C54, C55, 
5q4054;Pelvická exenterácia, laparoskopicky;S44-39;Onkologické výkony - lymfatické uzliny - onko;C485, C488, C20, C58, C54, C55, 
5q4058;Pelvická exenterácia, roboticky;S44-39;Onkologické výkony - lymfatické uzliny - onko;C485, C488, C20, C58, C54, C55, 
5q4100;Trachelektómia, laparotomicky;S44-61;Výkony na krčku uteru - komplexné - onko;D067, C58, 
5q4104;Trachelektómia, laparoskopicky;S44-61;Výkony na krčku uteru - komplexné - onko;D067, C58, 
5q4107;Trachelektómia, vaginálne;S44-61;Výkony na krčku uteru - komplexné - onko;D067, C58, 
5q420;Hemihysterektómia;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42610;Subtotálna simplexná hysterektómia (bez odstránenia vaječníka alebo vaječníkov), abdominálne;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42614;Subtotálna simplexná hysterektómia (bez odstránenia vaječníka alebo vaječníkov), laparoskopicky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42618;Subtotálna simplexná hysterektómia (bez odstránenia vaječníka alebo vaječníkov), roboticky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42620;Subtotálna hysterektómia s odstránením vaječníka alebo vaječníkov, abdominálne;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42624;Subtotálna hysterektómia s odstránením vaječníka alebo vaječníkov, laparoskopicky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42628;Subtotálna hysterektómia s odstránením vaječníka alebo vaječníkov, roboticky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42630;Hysterektómia simplexná (bez odstránenia vaječníka alebo vaječníkov), abdominálne;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42631;Hysterektómia simplexná (bez odstránenia vaječníka alebo vaječníkov), kombinovaná s laparoskopickou asistenciou;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42634;Hysterektómia simplexná (bez odstránenia vaječníka alebo vaječníkov), laparoskopicky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42637;Hysterektómia simplexná (bez odstránenia vaječníka alebo vaječníkov), vaginálne bez plastiky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42638;Hysterektómia simplexná (bez odstránenia vaječníka alebo vaječníkov), roboticky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42710;Hysterektómia s odstránením vaječníka alebo vaječníkov, laparotomicky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42711;Hysterektómia s odstránením vaječníka alebo vaječníkov, kombinovaná;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42714;Hysterektómia s odstránením vaječníka alebo vaječníkov, laparoskopicky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42717;Hysterektómia s odstránením vaječníka alebo vaječníkov, vaginálne;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42718;Hysterektómia s odstránením vaječníka alebo vaječníkov, roboticky;S44-20;Hysterektómia - onko;D067, D069, C58,  C54, C55, 
5q42800;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, abdominálne;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42804;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, laparoskopicky;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42807;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, vaginálne;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42808;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, roboticky;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42810;Radikálna hysterektómia s odstránením vaječníka alebo vaječníkov, abdominálne a detekcia sentinelových lymfatických uzlín;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42820;Radikálna hysterektómia s transpozíciou vaječníkov, abdominálne;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42824;Radikálna hysterektómia s transpozíciou vaječníkov, laparoskopicky;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42827;Radikálna hysterektómia s transpozíciou vaječníkov, vaginálne;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42828;Radikálna hysterektómia s transpozíciou vaječníkov, roboticky;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42830;Radikálna hysterektómia s transpozíciou vaječníkov, abdominálne a detekcia sentinelových lymfatických uzlín;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42834;Radikálna hysterektómia s transpozíciou vaječníkov, laparoskopicky a detekcia sentinelových lymfatických uzlín;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42837;Radikálna hysterektómia s transpozíciou vaječníkov, vaginálne a detekcia sentinelových lymfatických uzlín;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q42838;Radikálna hysterektómia s transpozíciou vaječníkov, roboticky a detekcia sentinelových lymfatických uzlín;S44-41;Onkologické výkony - uterus - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5q520;Radikálna parametrektómia;S44-39;Onkologické výkony - lymfatické uzliny - onko;D067, D069, C58,  C54, C55, C485, C488, C20
5o1091;Uzavretie nefrostómie, laparotomicky;S44-49;Ostatné komplexné výkony na obličke - onko;D304, D302, D302, D301, D300, C66, C67, C67, C20, C187,, C19, C48, 
5o1092;Uzavretie nefrostómie, lumbotomicky;S44-49;Ostatné komplexné výkony na obličke - onko;D304, D302, D302, D301, D300, C66, C67, C67, C20, C187,, C19, C48, 
5o1094;Uzavretie nefrostómie, laparoskopicky;S44-49;Ostatné komplexné výkony na obličke - onko;D304, D302, D302, D301, D300, C66, C67, C67, C20, C187,, C19, C48, 
5o109x;Uzavretie nefrostómie, ostatné;S44-49;Ostatné komplexné výkony na obličke - onko;D304, D302, D302, D301, D300, C66, C67, C67, C20, C187,, C19, C48, 
5o1101;Radikálna nefrektómia, laparotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1102;Radikálna nefrektómia, lumbotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1103;Radikálna nefrektómia, torakoabdominálne;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1104;Radikálna nefrektómia, laparoskopicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1105;Radikálna nefrektómia, roboticky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1106;Radikálna nefrektómia s použitím mimotelového obehu;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o110x;Radikálna nefrektómia, ostatné;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1111;Radikálna nefrektómia s ureterektómiou, laparotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1112;Radikálna nefrektómia s ureterektómiou, lumbotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1114;Radikálna nefrektómia s ureterektómiou, laparoskopicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1115;Radikálna nefrektómia s ureterektómiou, roboticky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o111x;Radikálna nefrektómia s ureterektómiou, ostatné;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1121;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, laparotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1122;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, lumbotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1124;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, laparoskopicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1125;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, roboticky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o112x;Radikálna nefrektómia s endoskopickým vytiahnutím močovodu vrátane regionálnej lymfadenektómie, ostatné;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1134;Nefrektómia pre nenádorové ochorenie rukou asistovaná, laparoskopicky;S44-37;Nefrektómia - onko;D215, D219, D300-1,D302,  D350, 
5o1144;Ureteronefrektómia pre nenádorové ochorenie, laparoskopicky;S44-37;Nefrektómia - onko;D215, D219, D300-1,D302,  D350, 
5o11501;Nefrektómia transplantovanej obličky, laparotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1150x;Nefrektómia transplantovanej obličky, ostatné;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1161;Nefrektómia bez ďalších výkonov, laparotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1162;Nefrektómia bez ďalších výkonov, lumbotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1164;Nefrektómia bez ďalších výkonov, laparoskopicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1165;Nefrektómia bez ďalších výkonov, roboticky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o116x;Nefrektómia bez ďalších výkonov, ostatné;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1171;Nefrektómia s ureterektómiou, laparotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1172;Nefrektómia s ureterektómiou, lumbotomicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
5o1174;Nefrektómia s ureterektómiou, laparoskopicky;S44-37;Nefrektómia - onko;C64, C65, C74, C791, 
