skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k700;Alkoholová tuková choroba pečene
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k701;Alkoholová hepatitída
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k703;Alkoholová cirhóza pečene
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k710;Toxická choroba pečene s cholestázou
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k711;Toxická choroba pečene s pečeňovou nekrózou
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k712;Toxická choroba pečene s akútnou hepatitídou
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k713;Toxická choroba pečene s chronickou perzistujúcou hepatitídou
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k715;Toxická choroba pečene s chronickou aktívnou hepatitídou
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k717;Toxická choroba pečene s fibrózou a cirhózou pečene
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k718;Toxická choroba pečene s inými poruchami pečene
Chemické, biologické faktory ochorenia - pracovné lekárstvo;k719;Toxická choroba pečene, bližšie neurčená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r000;Tachykardia, bližšie neurčená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r001;Bradykardia, bližšie neurčená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r008;Iná a bližšie neurčená porucha srdcovej činnosti
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r03-;Abnormálne hodnoty krvného tlaku bez určenia diagnózy
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r060;Dýchavičnosť (dyspnoe)
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r061;Stridor (hvizdot) pri dýchaní
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r062;Sipenie (pískanie) pri dýchaní
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r091;Zápal pohrudnice
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r101;Bolesť v hornej časti brucha
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r11;Pocit na vracanie (nauzea) a vracanie (vomitus)
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r16-;Hepatomegália a splenomegália, nezatriedené inde
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r17;Žltačka, bližšie neurčená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r230;Cyanóza
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r42;Závrat [vertigo]
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r43-;Poruchy čuchu a chuti
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r450;Nervozita
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r451;Nepokoj a vzrušenosť
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r457;Stav emočného šoku a stresu, bližšie neurčený
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r490;Dysfónia
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r491;Afónia
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r5080;Horúčka neznámeho pôvodu
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r53;Malátnosť a únava
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r55;Synkopa a kolaps
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r590;Lokalizované zväčšenie lymfatických uzlín
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r600;Lokalizovaný opuch
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r601;Generalizovaný opuch
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r787;Nález abnormálnej koncentrácie ťažkého kovu v krvi
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r788;Nález inej bližšie určenej látky, ktorá sa normálne v krvi nenachádza
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r826;Abnormálna koncentrácia látky prevažne nemedicínskeho pôvodu v moči
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r829;Iné a bližšie neurčené abnormálne nálezy v moči
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r936;Abnormálny nález pri diagnostickom zobrazení končatín
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r937;Abnormálny nález pri diagnostickom zobrazení iných častí svalovej a kostrovej sústavy
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r938;Abnormálny nález pri diagnostickom zobrazení iných bližšie určených telových štruktúr
Chemické, biologické faktory ochorenia - pracovné lekárstvo;r94-;Abnormálne výsledky funkčných vyšetrení
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t66;Bližšie neurčené účinky žiarenia
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t67-;Účinky tepla a svetla
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t68;Podchladenie
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t691;Oziabliny
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t698;Iný účinok zníženej teploty, bližšie určený
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t699;Účinok zníženej teploty, bližšie neurčený
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t70-;Účinok tlaku vzduchu a tlaku vody
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t750;Účinok blesku
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t751;Utopenie a topenie (nie smrteľné)
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t752;Účinky vibrácie
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t754;Účinok elektrického prúdu
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t758;Iný účinok z vonkajších príčin, bližšie určený
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t784;Alergia, bližšie neurčená
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t96;Neskoré následky otravy liekmi, liečivami a biologicky aktívnymi látkami
Chemické, biologické faktory ochorenia - pracovné lekárstvo;t97;Neskoré následky toxických účinkov látky používanej najmä mimo lekárstva
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w423;Poranenie účinkom hluku - MU: Športové a atletické priestranstvo
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w424;Poranenie účinkom hluku - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w425;Poranenie účinkom hluku - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w426;Poranenie účinkom hluku - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w427;Poranenie účinkom hluku - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w428;Poranenie účinkom hluku - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w429;Poranenie účinkom hluku - MU: Nešpecifikované miesto
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w434;Poškodenie účinkom vibrácií - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w435;Poškodenie účinkom vibrácií - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w436;Poškodenie účinkom vibrácií - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w437;Poškodenie účinkom vibrácií - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w438;Poškodenie účinkom vibrácií - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w439;Poškodenie účinkom vibrácií - MU: Nešpecifikované miesto
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w885;Poškodenie ionizujúcim žiarením - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w886;Poškodenie ionizujúcim žiarením - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w887;Poškodenie ionizujúcim žiarením - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w888;Poškodenie ionizujúcim žiarením - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w889;Poškodenie ionizujúcim žiarením - MU: Nešpecifikované miesto
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w894;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w895;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w896;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w897;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w898;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w899;Poškodenie umelým viditeľným a ultrafialovým svetlom - MU: Nešpecifikované miesto
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w904;Poškodenie iným neionizujúcim žiarením - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w905;Poškodenie iným neionizujúcim žiarením - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w906;Poškodenie iným neionizujúcim žiarením - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w907;Poškodenie iným neionizujúcim žiarením - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w908;Poškodenie iným neionizujúcim žiarením - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w909;Poškodenie iným neionizujúcim žiarením - MU: Nešpecifikované miesto
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w913;Poškodenie bližšie neurčeným typom žiarenia - MU: Športové a atletické priestranstvo
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w914;Poškodenie bližšie neurčeným typom žiarenia - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w915;Poškodenie bližšie neurčeným typom žiarenia - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w916;Poškodenie bližšie neurčeným typom žiarenia - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w917;Poškodenie bližšie neurčeným typom žiarenia - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w918;Poškodenie bližšie neurčeným typom žiarenia - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w919;Nehoda s vystavením žiareniu
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w924;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w925;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w926;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w927;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w928;Poškodenie nadmernou horúčavou umelého pôvodu - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w929;Nehoda s vystavením nadmernej horúčave umelého pôvodu
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w934;Poškodenie nadmerným chladom umelého pôvodu - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w935;Poškodenie nadmerným chladom umelého pôvodu - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w936;Poškodenie nadmerným chladom umelého pôvodu - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w937;Poškodenie nadmerným chladom umelého pôvodu - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w938;Poškodenie nadmerným chladom umelého pôvodu - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w939;Nehoda s vystavením nadmernému chladu umelého pôvodu
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w944;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w945;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w946;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w947;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w948;Poškodenie vysokým a nízkym tlakom vzduchu a zmenami tlaku vzduchu - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w949;Nehoda s vystavením zmenám tlaku vzduchu
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w994;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w995;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w996;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w997;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w998;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;w999;Poškodenie inými a bližšie neurčenými umelými činiteľmi prostredia - MU: Nešpecifikované miesto
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x304;Poškodenie nadmernou prirodzenou horúčavou - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x305;Poškodenie nadmernou prirodzenou horúčavou - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x306;Poškodenie nadmernou prirodzenou horúčavou - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x307;Poškodenie nadmernou prirodzenou horúčavou - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x308;Poškodenie nadmernou prirodzenou horúčavou - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x309;Poškodenie nadmernou prirodzenou horúčavou - MU: Nešpecifikované miesto
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x314;Poškodenie nadmerným prirodzeným chladom - MU: Ulica a cesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x315;Poškodenie nadmerným prirodzeným chladom - MU: Obchod a služby
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x316;Poškodenie nadmerným prirodzeným chladom - MU: Priemyselné objekty
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x317;Poškodenie nadmerným prirodzeným chladom - MU: Poľnohospodárske
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x318;Poškodenie nadmerným prirodzeným chladom - MU: Iné špecifikované miesta
Chemické, biologické faktory ochorenia - pracovné lekárstvo;x319;Poškodenie nadmerným prirodzeným chladom - MU: Nešpecifikované miesto
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;f842;Rettov syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g14;Postpoliomyelitický syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g211;Iný sekundárny Parkinsonov syndróm zapríčinený liekmi
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g212;Sekundárny Parkinsonov syndróm zapríčinený inými vonkajšími faktormi
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g213;Parkinsonov syndróm po zápale mozgu
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g214;Vaskulárny Parkinsonov syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g218;Iný sekundárny Parkinsonov syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g219;Sekundárny Parkinsonov syndróm, bližšie neurčený
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g22;Parkinsonov syndróm pri chorobách zatriedených inde
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g240;Dystónia zapríčinená liekmi
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g244;Idiopatická orofaciálna dystónia
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g248;Iná dystónia
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g249;Dystónia, bližšie neurčená
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g258-;Iná bližšie určená extrapyramídová porucha a porucha hybnosti
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g259;Extrapyramídová porucha a porucha hybnosti, bližšie neurčená
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g26;Extrapyramídové poruchy a poruchy hybnosti pri chorobách zatriedených inde
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g903;Multisystémová degenerácia
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g91-;Hydrocefalus
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g931;Anoxické poškodenie mozgu, nezatriedené inde
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g937;Reyeov syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;g950;Syringomyelia a syringobulbia
Degeneratívne ochorenia nervového systému - vybrané diagnózy I.;i673;Progresívna subkortikálna cievna encefalopatia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;a81-;Pomalá vírusová infekcia centrálnej nervovej sústavy
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g10;Huntingtonova choroba
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g12-;Spinálna svalová atrofia a príbuzné syndrómy
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g13-;Systémová atrofia prvotne postihujúca centrálny nervový systém pri chorobách zatriedených inde
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g2090;Parkinsonova choroba, bližšie neurčená, bez motorickej fluktuácie
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g210;Malígny neuroleptický syndróm
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g23-;Iná degeneratívna choroba bazálnych ganglií
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g241;Idiopatická familiárna dystónia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g242;Idiopatická nefamiliárna dystónia
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g255;Iná chorea
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g312;Degenerácia nervovej sústavy zapríčinená alkoholom
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g318-;Iná bližšie určená degeneratívna choroba nervovej sústavy
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g319;Degeneratívna choroba nervovej sústavy, bližšie neurčená
Degeneratívne ochorenia nervového systému - vybrané diagnózy II.;g32-;Iná degeneratívna choroba nervovej sústavy pri chorobách zatriedených inde
Diabetes mellitus s komplikáciami;e102-;Diabetes mellitus 1. typu: s obličkovými komplikáciami
Diabetes mellitus s komplikáciami;e105-;Diabetes mellitus 1. typu: s periférnymi cievnymi komplikáciami
Diabetes mellitus s komplikáciami;e1074;Diabetes mellitus 1. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, kompenzovaný
Diabetes mellitus s komplikáciami;e1075;Diabetes mellitus 1. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, dekompenzovaný
Diabetes mellitus s komplikáciami;e112-;Diabetes mellitus 2. typu: s obličkovými komplikáciami
Diabetes mellitus s komplikáciami;e115-;Diabetes mellitus 2. typu: s periférnymi cievnymi komplikáciami
Diabetes mellitus s komplikáciami;e1174;Diabetes mellitus 2. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, kompenzovaný
Diabetes mellitus s komplikáciami;e1175;Diabetes mellitus 2. typu: s mnohopočetnými komplikáciami, so syndrómom diabetickej nohy, dekompenzovaný
Diabetes mellitus s komplikáciami;e122-;Diabetes mellitus spojený s podvýživou: s obličkovými komplikáciami
Diabetes mellitus s komplikáciami;e123-;Diabetes mellitus spojený s podvýživou: s očnými komplikáciami
Diabetes mellitus s komplikáciami;e125-;Diabetes mellitus spojený s podvýživou: s periférnymi cievnymi komplikáciami
Diabetes mellitus s komplikáciami;e132-;Iný diabetes mellitus, bližšie určený: s obličkovými komplikáciami
Diabetes mellitus s komplikáciami;e133-;Iný diabetes mellitus, bližšie určený: s očnými komplikáciami
Diabetes mellitus s komplikáciami;e135-;Iný diabetes mellitus, bližšie určený: s periférnymi cievnymi komplikáciami
Diabetes mellitus s komplikáciami;e142-;Diabetes mellitus, bližšie neurčený: s obličkovými komplikáciami
Diabetes mellitus s komplikáciami;e143-;Diabetes mellitus, bližšie neurčený: s očnými komplikáciami
Diabetes mellitus s komplikáciami;e145-;Diabetes mellitus, bližšie neurčený: s periférnymi cievnymi komplikáciami
Diabetes mellitus v gravidite;o239;Iná a bližšie neurčená infekcia močovopohlavných orgánov v gravidite
Diabetes mellitus v gravidite;o24-;Diabetes mellitus v gravidite
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;g545;Neuralgická amyotrofia
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m480-;Stenóza spinálneho kanála
Dorzopatia a poruchy nervových koreňov - vybrané diagnózy;m500;Poškodenie krčnej medzistavcovej platničky s myelopatiou (G99.2*)
