kod_vykonu;nazov_vykonu
13a102;Biopsia s incíziou mozgového kmeňa s trepanáciou lebkových kostí
13a103;Biopsia s incíziou mozočka s trepanáciou lebkových kostí
13a104;Biopsia s incíziou intrakraniálnych častí, hlavových nervov a ganglií s trepanáciou lebkových kostí 
13a105;Biopsia s incíziou intrakraniálnych ciev s trepanáciou lebkových kostí
13a106;Biopsia s incíziou mozgových obalov s trepanáciou lebkových kostí
13a107;Biopsia s incíziou klenby lebky s trepanáciou lebkových kostí 
13a108;Biopsia s incíziou lebečnej bázy s trepanáciou lebkových kostí
13a109;Biopsia s incíziou tvárovej časti lebky s trepanáciou lebkových kostí
13a10x;Biopsia s incíziou ostatného intrakraniálneho tkaniva s trepanáciou lebkových kostí
13a110;Stereotaktická biopsia mozgu
13a111;Stereotaktická biopsia bazálnych ganglií
13a112;Stereotaktická biopsia mozgového kmeňa
13a113;Stereotaktická biopsia mozočka
13a114;Stereotaktická biopsia intrakraniálnych častí, hlavových nervov a ganglií
13a115;Stereotaktická biopsia inkrakraniálnych ciev
13a116;Stereotaktická biopsia mozgových obalov
13a11x;Stereotaktická biopsia ostatného intrakraniálneho tkaniva 
13a200;Biopsia s incíziou miechy 
13a201;Biopsia s incíziou intraspinálnych častí miechových nervov 
13a202;Biopsia s incíziou obalov miechy 
13a203;"Biopsia s incíziou intraspinálneho tkaniva, diagnostické ""otvorenie"" miechového kanála"
13a20x;Biopsia s incíziou ostatného intraspinálneho tkaniva 
13a300;Biopsia s incíziou periférnych extrakraniálnych hlavových nervov 
13a301;Biopsia s incíziou periférnych nervov plexus brachialis  
13a302;Biopsia s incíziou periférnych nervov ramena  
13a303;Biopsia s incíziou periférnych nervov predlaktia 
13a304;Biopsia s incíziou periférnych nervov ruky  
13a305;Biopsia s incíziou periférnych nervov trupu 
13a306;Biopsia s incíziou periférnych nervov plexus lumbosacralis  
13a307;Biopsia s incíziou periférnych nervov panvy a panvového dna  
13a308;Biopsia s incíziou periférnych nervov dolnej končatiny  
13a309;Biopsia s incíziou periférnych nervov nohy  
13a30x;Biopsia s incíziou ostatných periférnych nervov  
13b00;Biopsia s incíziou štítnej žľazy
13b01;Biopsia s incíziou prištítnych teliesok 
13b02;Biopsia s incíziou nadobličiek 
13b100;Biopsia s incíziou hypofýzy, transseptálne/transsfenoidálne
13b101;Biopsia s incíziou corpus pineale, transseptálne/transsfenoidálne
13b200;Stereotaktická biopsia hypofýzy
13b201;Stereotaktická biopsia corpus pineale
13c00;Biopsia s incíziou očného viečka  
13c01;Biopsia s incíziou slzných žliaz a slzných kanálikov 
13c10;Biopsia s incíziou slzných vývodov 
13c11;Biopsia s incíziou dúhovky 
13c12;Biopsia s incíziou corpus ciliare 
13c13;Biopsia s incíziou skléra 
13c14;Biopsia s incíziou šošovky 
13c15;Biopsia s incíziou sietnice 
13c16;Biopsia s incíziou chorioidei 
13c17;Biopsia s incíziou okohybných svalov 
13c18;Biopsia s incíziou orbity  
13c1x;Biopsia s incíziou oka, ostatné
13d21;Biopsia s incíziou stredného ucha 
13d22;Biopsia s incíziou vnútorného ucha  
13d2x;Biopsia s incíziou ostatných častí ucha 
13d40;Biopsia s incíziou slinnej žľazy a vývodov slinnej žľazy 
13d41;Biopsia s incíziou alveoly dutiny ústnej  
13d42;Biopsia s incíziou spodiny dutiny ústnej 
13h100;Biopsia s incíziou supraglottis 
13h101;Biopsia s incíziou glottis 
13h102;Biopsia s incíziou subglottis  
13h10x;Biopsia s incíziou ostatných častí hrtana 
13h200;Biopsia s incíziou uvuly orofarynxu 
13h21;Biopsia s incíziou hypofarynxu 
13h22;Biopsia s incíziou nazofarynxu 
13j00;Biopsia s incíziou bránice 
13j01;Biopsia s incíziou mediastina 
13j02;Biopsia s incíziou bronchu 
13j03;Biopsia s incíziou pľúc 
13k00;Biopsia s incíziou srdca 
13k01;Biopsia s incíziou perikardu 
13k020;Biopsia s incíziou extrakraniálnych ciev hlavy a krku 
13k021;Biopsia s incíziou ciev pleca, ramena a ruky 
13k022;Biopsia s incíziou ciev hrudníka 
13k023;Biopsia s incíziou ciev brucha 
13k024;Biopsia s incíziou viscerálnych ciev  
13k025;Biopsia s incíziou ciev stehna  
13k026;Biopsia s incíziou ciev predkolenia a nohy 
13k027;Biopsia s incíziou ciev, ostatné
13k028;Biopsia s incíziou ostatných orgánov hrudníka
13k029;Biopsia s incíziou ostatných orgánov brucha  
13k02x;Biopsia s incíziou ostatných orgánov
13m00;Biopsia s incíziou týmusu
13m01;Biopsia s incíziou sleziny 
13m100;Biopsia s incíziou cervikálnych lymfatických uzlín 
13m101;Biopsia s incíziou supraklavikulárnych lymfatických uzlín 
13m102;Biopsia s incíziou axilárnych lymfatických uzlín 
13m103;Biopsia s incíziou mediastinálnych lymfatických uzlín 
13m104;Biopsia s incíziou paraaortálnych lymfatických uzlín 
13m105;Biopsia s incíziou iliakálnych lymfatických uzlín 
13m106;Biopsia s incíziou inguinálnych lymfatických uzlín 
13m107;Biopsia s incíziou lymfatických uzlín panvy 
13m10x;Biopsia s incíziou ostatných lymfatických uzlín 
13n000;Biopsia s incíziou pečene s excíziou
13n001;Ihlová biopsia s incíziou pečene 
13n010;Biopsia s incíziou žlčníka
13n011;Biopsia s incíziou žlčových ciest 
13n013;Biopsia s incíziou pankreasu
13n05;Biopsia s incíziou žalúdka
13n060;Biopsia s incíziou duodena 
13n061;Biopsia s incíziou ilea 
13n062;Biopsia s incíziou jejuna 
13n070;Biopsia s incíziou colon ascendens 
13n071;Biopsia s incíziou colon transversum 
13n072;Biopsia s incíziou colon descendens 
13n073;Biopsia s incíziou colon sigmoideum 
13n080;Biopsia s incíziou konečníka
13n081;Biopsia s incíziou perirektálneho tkaniva 
13n090;Biopsia s incíziou pažeráka
13n091;Biopsia s incíziou bližšie neurčenej časti čreva 
13n092;Biopsia s incíziou mezenteria 
13n093;Biopsia s incíziou omenta 
13n094;Biopsia s incíziou peritonea 
13n095;Biopsia s incíziou retroperitoneálneho tkaniva 
13n09x;Biopsia s incíziou ostatných orgánov tráviaceho systému 
13n0x;Biopsia s incíziou ostatných intraabdominálnych orgánov 
13o000;Biopsia s incíziou obličky 
13o001;Biopsia s incíziou perirenálneho tkaniva 
13o004;Biopsia s incíziou močovodu 
13o005;Biopsia s incíziou periureterálneho tkaniva 
13o006;Biopsia s incíziou močového mechúra 
13o007;Biopsia s incíziou perivezikálneho tkaniva 
13o00x;Biopsia s incíziou ostatných orgánov močovopohlavného systému 
13p000;Biopsia s incíziou prostaty 
13p001;Biopsia s incíziou periprostatického tkaniva 
13p010;Biopsia s incíziou glans penis 
13p011;Biopsia s incíziou tela penisu 
13p020;Biopsia s incíziou semenníkov 
13p023;Biopsia s incíziou vesiculae seminalis 
13q000;Biopsia s incíziou vaječníkov 
13q001;Biopsia s incíziou tuby uterina 
13q010;Biopsia s incíziou závesného aparátu maternice 
13q011;Biopsia s incíziou tela maternice 
13q012;Biopsia s incíziou krčka maternice 
13q02;Biopsia s incíziou pošvy 
13q03;Biopsia s incíziou vulvy 
13q04;Biopsia s incíziou ženského perinea 
13q05;Vaginálna biopsia s incíziou Douglasovho priestoru 
13q0x;Biopsia s incíziou ostatných ženských pohlavných orgánov 
13t100;Biopsia s incíziou svalov a mäkkých tkanív v oblasti krku 
13t101;Biopsia s incíziou svalov a mäkkých tkanív v oblasti ramena 
13t102;Biopsia s incíziou svalov a mäkkých tkanív v oblasti ramena a lakťa 
13t103;Biopsia s incíziou svalov a mäkkých tkanív v oblasti predlaktia a ruky 
13t104;Biopsia s incíziou svalov a mäkkých tkanív v oblasti trupu 
13t105;Biopsia s incíziou svalov a mäkkých tkanív v oblasti stehna  
13t106;Biopsia s incíziou svalov a mäkkých tkanív v oblasti predkolenia 
13t107;Biopsia s incíziou svalov a mäkkých tkanív v oblasti nohy 
13t10x;Biopsia s incíziou ostatných svalov a mäkkých tkanív 
13t200;Biopsia s incíziou skapuly, klavikuly, costae, sterna 
13t201;Biopsia s incíziou humeru 
13t202;Biopsia s incíziou radia a ulny 
13t203;Biopsia s incíziou karpálnych, metakarpálnych a falangeálnych kostí ruky 
13t204;Biopsia s incíziou chrbtice 
13t205;Biopsia s incíziou panvy  
13t206;Biopsia s incíziou femuru a pately  
13t207;Biopsia s incíziou tibie a fibuly 
13t208;Biopsia s incíziou tarzálnych, metatarzálnych a falangeálnych kostí nohy 
13t300;Biopsia s incíziou v oblasti temporomandibulárneho kĺbu a burzy 
13t301;Biopsia s incíziou v oblasti kĺbov a burzy ramenného pletenca 
13t302;Biopsia s incíziou v oblasti lakťového kĺbu a burzy 
13t303;Biopsia s incíziou v oblasti kĺbov a burzy ruky 
13t304;Biopsia s incíziou v oblasti kĺbov a burzy hrudníka 
13t305;Biopsia s incíziou v oblasti kĺbov a burzy chrbtice 
13t306;Biopsia s incíziou v oblasti bedrového kĺbu a burzy 
13t307;Biopsia s incíziou v oblasti kolenného kĺbu a burzy 
13t308;Biopsia s incíziou v oblasti členkového kĺbu a burzy 
13t309;Biopsia s incíziou v oblasti ostatných kĺbov a burzy nohy 
13t30a;Biopsia s incíziou v oblasti kĺbov a burzy prstov 
13t30b;Biopsia s incíziou v oblasti inej burzy 
13t30c;Biopsia s incíziou v oblasti ostatných kĺbov a burzy ruky 
13t30x;Biopsia s incíziou iných kĺbov a burzy 
13x01;Biopsia s incíziou ostatných orgánov krku
14a300;Diagnostická peroperačná endoskopia intrakraniálneho priestoru
14a301;Diagnostická peroperačná endoskopia intraspinálneho priestoru
14a30x;Diagnostická peroperačná endoskopia ostatného centrálneho nervového systému 
14c00;Diagnostická endoskopia slzných ciest
14j300;Diagnostická peroperačná bronchoskopia s incíziou
14j301;Diagnostická peroperačná tracheoskopia s incíziou
14j302;Diagnostická peroperačná torakoskopia s incíziou 
14j303;Diagnostická peroperačná mediastinoskopia s incíziou 
14n310;Diagnostická endoskopia žalúdka s incíziou alebo peroperačne 
14n311;Diagnostická endoskopia tenkého čreva s incíziou alebo peroperačne 
14n312;Diagnostická endoskopia  hrubého čreva s incíziou alebo peroperačne
14n3232;Diagnostická endoskopia žlčových ciest, žlčníka, ductus cysticus s incíziou alebo peroperačne
14n32x;Diagnostická endoskopia ostatnej tráviacej sústavy s incíziou alebo peroperačne
14q05;Diagnostická hysterosalpingoskopia
14q06;Diagnostická kuldoskopia
14q0a;Diagnostická chromopertubácia, laparoskopicky
14t300;Diagnostická peroperačná artroskopia temporomandibulárneho kĺbu
14t301;Diagnostická peroperačná artroskopia ramenného kĺbu
14t302;Diagnostická peroperačná artroskopia lakťového kĺbu
14t303;Diagnostická peroperačná artroskopia zápästného kĺbu
14t304;Diagnostická peroperačná artroskopia kĺbov hrudníka
14t305;Diagnostická peroperačná artroskopia kĺbov chrbtice
14t306;Diagnostická peroperačná artroskopia bedrového kĺbu
14t307;Diagnostická peroperačná artroskopia kolenného kĺbu
14t308;Diagnostická peroperačná artroskopia členkového kĺbu
14t309;Diagnostická peroperačná artroskopia ostatných kĺbov nohy
14t30a;Diagnostická peroperačná artroskopia kĺbov prstov
14t30c;Diagnostická peroperačná artroskopia ostatných kĺbov ruky
14t30x;Ostatné diagnostické peroperačné artroskopie kĺbov
14v11;Diagnostická laparoskopia 
15c00;Diagnostická punkcia a aspirácia prednej komory oka
15c03;Diagnostická punkcia a aspirácia sklovca 
15x03;Diagnostická punkcia a aspirácia vaječníka, perkutánne
15x06;Diagnostická punkcia a aspirácia prsníka
3131419;Endosonografia brucha, laparoskopická sonografia
3131429;Endosonografia brucha, laparoskopická sonografia s kontrastnou látkou
3131439;Endosonografia brucha, laparoskopická sonografia s elastografiou
5a110;Resekcia nádoru klivu (Blumenbachi)
5a111;Resekcia nádoru klenby lebky
5a1122;Resekcia intrakraniálneho meningeómu z konvexity mozgu
5a112d;Resekcia intrakraniálneho parasagitálneho meningeómu
5a112e;Resekcia intrakraniálneho meningeómu spodiny lebečnej
5a112f;Resekcia intrakraniálneho meningeómu v oblasti krídla
5a112g;Resekcia intrakraniálneho meningeómu mozgovej komory
5a112h;Resekcia intrakraniálneho meningeómu rastúceho extraintrakraniálne
5a113j;Resekcia intrakraniálneho neuroepiteliálneho nádoru [gliom] z mozgovej hemisféry, mikrochirurgicky s neuronavigáciou
5a113k;Resekcia intrakraniálneho neuroepiteliálneho nádoru [gliom] z mozgovej hemisféry, mikrochirurgicky bez neuronavigácie
5a113m;Resekcia intrakraniálneho neuroepiteliálneho nádoru [gliom] z mozgovej hemisféry, neuroendoskopicky s neuronavigáciou
5a113n;Resekcia intrakraniálneho neuroepiteliálneho nádoru [gliom] z mozgovej hemisféry, neuroendoskopicky bez neuronavigácie
5a114j;Resekcia intrakraniálneho neuroepiteliálneho nádoru [gliom] z mozočka, mikrochirurgicky s neuronavigáciou
5a114k;Resekcia intrakraniálneho neuroepiteliálneho nádoru [gliom] z mozočka, mikrochirurgicky bez neuronavigácie
5a114m;Resekcia intrakraniálneho neuroepiteliálneho nádoru [gliom] z mozočka, neuroendoskopicky s neuronavigáciou
5a114n;Resekcia intrakraniálneho neuroepiteliálneho nádoru [gliom] z mozočka, neuroendoskopicky bez neuronavigácie
5a115j;Resekcia intrakraniálneho neuroepiteliálneho nádoru z elokventnej oblasti, mikrochirurgicky s neuronavigáciou
5a115k;Resekcia intrakraniálneho neuroepiteliálneho nádoru z elokventnej oblasti, mikrochirurgicky bez neuronavigácie
5a115m;Resekcia intrakraniálneho neuroepiteliálneho nádoru z elokventnej oblasti, neuroendoskopicky s neuronavigáciou
5a115n;Resekcia intrakraniálneho neuroepiteliálneho nádoru z elokventnej oblasti, neuroendoskopicky bez neuronavigácie
5a116j;Resekcia intrakraniálneho neuroepiteliálneho nádoru bočných komôr a IV. mozgovej komory, mikrochirurgicky s neuronavigáciou
5a116k;Resekcia intrakraniálneho neuroepiteliálneho nádoru bočných komôr a IV. mozgovej komory, mikrochirurgicky bez neuronavigácie
5a116m;Resekcia intrakraniálneho neuroepiteliálneho nádoru bočných komôr a IV. mozgovej komory, neuroendoskopicky s neuronavigáciou
5a116n;Resekcia intrakraniálneho neuroepiteliálneho nádoru bočných komôr a IV. mozgovej komory, neuroendoskopicky bez neuronavigácie
5a117j;Resekcia nádoru z hlbokých štruktúr mozgu, mikrochirurgicky s neuronavigáciou
5a117k;Resekcia nádoru z hlbokých štruktúr mozgu, mikrochirurgicky bez neuronavigácie
5a117m;Resekcia nádoru z hlbokých štruktúr mozgu, neuroendoskopicky s neuronavigáciou
5a117n;Resekcia nádoru z hlbokých štruktúr mozgu, neuroendoskopicky bez neuronavigácie
5a118j;Resekcia intrakraniálnej metastázy, mikrochirurgicky s neuronavigáciou
5a118k;Resekcia intrakraniálnej metastázy, mikrochirurgicky bez neuronavigácie
5a118m;Resekcia intrakraniálnej metastázy, neuroendoskopicky s neuronavigáciou
5a118n;Resekcia intrakraniálnej metastázy, neuroendoskopicky bez neuronavigácie
5a119;Resekcia nádorov spodiny lebečnej
5a11a0;Resekcia kontúzneho ložiska mozgu s kraniotómiou s ICP monitoringom
5a11a1;Resekcia kontúzneho ložiska mozgu s kraniotómiou bez ICP monitoringu
5a11b0;Resekcia kontúzneho ložiska mozgu s kraniektómiou s ICP monitoringom
5a11b1;Resekcia kontúzneho ložiska mozgu s kraniektómiou bez ICP monitoringu
5a11c3;Resekcia schwanómu n. III. intrakraniálne cez labyrint
5a11c4;Resekcia schwanómu n. IV. intrakraniálne cez labyrint
5a11c5;Resekcia schwanómu n. V. intrakraniálne cez labyrint
5a11c6;Resekcia schwanómu n. VI. intrakraniálne cez labyrint
5a11c7;Resekcia schwanómu n. VII. intrakraniálne cez labyrint
5a11c8;Resekcia schwanómu n. VIII. intrakraniálne cez labyrint
5a11c9;Resekcia schwanómu n. IX. intrakraniálne cez labyrint
5a11ca;Resekcia schwanómu n. X. intrakraniálne cez labyrint
5a11cb;Resekcia schwanómu n. XI. intrakraniálne cez labyrint
5a11cc;Resekcia schwanómu n. XII. intrakraniálne cez labyrint
5a11d3;Resekcia schwanómu n. III. intrakraniálne retrosigmoidálne 
5a11d4;Resekcia schwanómu n. IV. intrakraniálne retrosigmoidálne
5a11d5;Resekcia schwanómu n. V. intrakraniálne retrosigmoidálne
5a11d6;Resekcia schwanómu n. VI. intrakraniálne retrosigmoidálne
5a11d7;Resekcia schwanómu n. VII. intrakraniálne retrosigmoidálne
5a11d8;Resekcia schwanómu n. VIII. intrakraniálne retrosigmoidálne
5a11d9;Resekcia schwanómu n. IX. intrakraniálne retrosigmoidálne
5a11da;Resekcia schwanómu n. X. intrakraniálne retrosigmoidálne
5a11db;Resekcia schwanómu n. XI. intrakraniálne retrosigmoidálne
5a11dc;Resekcia schwanómu n. XII. intrakraniálne retrosigmoidálne
5a11e3;Resekcia schwanómu n. III. intrakraniálne kombinovane
5a11e4;Resekcia schwanómu n. IV. intrakraniálne kombinovane
5a11e5;Resekcia schwanómu n. V. intrakraniálne kombinovane
5a11e6;Resekcia schwanómu n. VI. intrakraniálne kombinovane
5a11e7;Resekcia schwanómu n. VII. intrakraniálne kombinovane
5a11e8;Resekcia schwanómu n. VIII. intrakraniálne kombinovane
5a11e9;Resekcia schwanómu n. IX. intrakraniálne kombinovane
5a11ea;Resekcia schwanómu n. X. intrakraniálne kombinovane
5a11eb;Resekcia schwanómu n. XI. intrakraniálne kombinovane
5a11ec;Resekcia schwanómu n. XII. intrakraniálne kombinovane
5a11f3;Resekcia schwanómu n. III. intrakraniálne strednou jamou
5a11f4;Resekcia schwanómu n. IV. intrakraniálne strednou jamou
5a11f5;Resekcia schwanómu n. V. intrakraniálne strednou jamou
5a11f6;Resekcia schwanómu n. VI. intrakraniálne strednou jamou
5a11f7;Resekcia schwanómu n. VII. intrakraniálne strednou jamou
5a11f8;Resekcia schwanómu n. VIII. intrakraniálne strednou jamou
5a11f9;Resekcia schwanómu n. IX. intrakraniálne strednou jamou
5a11fa;Resekcia schwanómu n. X. intrakraniálne strednou jamou
5a11fb;Resekcia schwanómu n. XI. intrakraniálne strednou jamou
5a11fc;Resekcia schwanómu n. XII. intrakraniálne strednou jamou
5a1200;Evakuácia subdurálneho akútneho hematómu s kraniotómiou s ICP monitoringom
5a1201;Evakuácia subdurálneho akútneho hematómu s kraniotómiou bez ICP monitoringu
5a1210;Evakuácia subdurálneho akútneho hematómu s kraniektómiou s ICP monitoringom
5a1211;Evakuácia subdurálneho akútneho hematómu s kraniektómiou bez ICP monitoringu
5a1220;Evakuácia subdurálneho subakútneho hematómu s kraniotómiou s ICP monitoringom
5a1221;Evakuácia subdurálneho subakútneho hematómu s kraniotómiou bez ICP monitoringu
5a1230;Evakuácia subdurálneho subakútneho hematómu s kraniektómiou s ICP monitoringom
5a1231;Evakuácia subdurálneho subakútneho hematómu s kraniektómiou bez ICP monitoringu
5a1240;Evakuácia subdurálneho chronického hematómu s kraniotómiou s ICP monitoringom
5a1241;Evakuácia subdurálneho chronického hematómu s kraniotómiou bez ICP monitoringu
5a1250;Evakuácia subdurálneho chronického hematómu s kraniektómiou s ICP monitoringom
5a1251;Evakuácia subdurálneho chronického hematómu s kraniektómiou bez ICP monitoringu
5a1262;Evakuácia epidurálneho hematómu s kraniotómiou bez revízie intradurálneho priestoru
5a1263;Evakuácia epidurálneho hematómu s kraniotómiou s revíziou intradurálneho priestoru
5a1272;Evakuácia epidurálneho hematómu s kraniektómiou bez revízie intradurálneho priestoru
5a1273;Evakuácia epidurálneho hematómu s kraniektómiou s revíziou intradurálneho priestoru
5a1284;Evakuácia intracerebrálneho poúrazového hematómu bez hemocefalu, supratentoriálne
5a1285;Evakuácia intracerebrálneho poúrazového hematómu s hemocefalom, supratentoriálne
5a1286;Evakuácia intracerebrálneho poúrazového hematómu bez hemocefalu, infratentoriálne
5a1287;Evakuácia intracerebrálneho poúrazového hematómu s hemocefalom, infratentoriálne
5a1290;Evakuácia subdurálneho akútneho hematómu návrtom s ICP monitoringom
5a1291;Evakuácia subdurálneho akútneho hematómu návrtom bez ICP monitoringu
5a12a0;Evakuácia subdurálneho subakútneho hematómu návrtom s ICP monitoringom
5a12a1;Evakuácia subdurálneho subakútneho hematómu návrtom bez ICP monitoringu
5a12b0;Evakuácia subdurálneho chronického hematómu návrtom s ICP monitoringom
5a12b1;Evakuácia subdurálneho chronického hematómu návrtom bez ICP monitoringu
5a12c8;Evakuácia subdurálneho hematómu bez drenáže
5a12c9;Evakuácia subdurálneho hematómu s drenážou
5a12d4;Evakuácia intracerebrálneho spontánneho hematómu bez hemocefalu, supratentoriálne
5a12d5;Evakuácia intracerebrálneho spontánneho hematómu s hemocefalom, supratentoriálne
5a12d6;Evakuácia intracerebrálneho spontánneho hematómu bez hemocefalu, infratentoriálne
5a12d7;Evakuácia intracerebrálneho spontánneho hematómu s hemocefalom, infratentoriálne
5a130;Dekompresia hlavových nervov v mastoidálnom a tympanickom úseku n.VII.
5a131;Dekompresia hlavových nervov labyrintového úseku n. VII.
5a1327;Mikrovaskulárna dekompresia n.VII. v zadnej jame lebečnej
5a1328;Mikrovaskulárna dekompresia n. VIII. v zadnej jame lebečnej
5a1329;Mikrovaskulárna dekompresia n.IX. v zadnej jame lebečnej
5a1900;Exstirpácia nádoru klenby lebky v čelovej oblasti
5a1901;Exstirpácia nádoru klenby lebky v okcipitoparietálnej oblasti
5a1902;Exstirpácia nádoru klenby lebky v subokcipitálnej oblasti
5a1903;Exstirpácia nádoru klenby lebky v oblasti orbity
5a1904;Exstirpácia nádoru klenby lebky v pterionálnej oblasti
5a191;Subfrontálna kraniotómia s resekciou nádoru rinobázy
5a192;Exstirpácia iného nádoru zadnej jamy retrosigmoidným prístupom
5a193;Exstirpácia nádoru infratemporálnej oblasti
5a194e;Operácia encefalokély spodiny lebečnej
5a194f;Operácia encefalokély inej časti ako spodiny lebečnej
5a195;Dekompresívna kraniektómia bez uloženia kosti
5a196;Drenáž subdurálnej tekutiny
5a1971;Externá komorová drenáž
5a1972;Externá lumbálna drenáž
5a1981;Trepanopunkcia mozgovej cysty alebo abscesu supratentoriálne, jedno ložisko
