kod_diagnozy;nazov_diagnozy
A370;Pertussis zapríčinený Bordetella pertussis
A371;Pertussis zapríčinený Bordetella parapertussis
A378;Pertussis zapríčinený iným druhom bordetely
A379;Pertussis,bližšie neurčený
A390;Meningokoková meningitída (G01*)
A391;Waterhouseov-Friderichsenov syndróm (E35.1*)
A392;Akútna meningokoková sepsa
A393;Chronická meningokoková sepsa
A394;Meningokoková sepsa,bližšie neurčená
A395;Meningokokové ochorenie srdca
A400;Sepsa zapríčinená streptokokom zo skupiny A
A401;Sepsa zapríčinená streptokokom zo skupiny B
A402;Sepsa zapríčinená streptokokom zo skupiny D
A403;Sepsa zapríčinená Streptococcus pneumoniae
A4081;Sepsa zapríčinená streptokokom zo skupiny C
A4089;Iná streptokoková sepsa
A409;Sepsa zapríčinená streptokokmi,bližšie neurčená
A410;Sepsa zapríčinená Staphylococcus aureus
A411;Sepsa zapríčinená iným bližšie určeným stafylokokom
A412;Sepsa zapríčinená bližšie neurčeným stafylokokom
A413;Sepsa zapríčinená Haemophilus influenzae
A414;Sepsa zapríčinená anaeróbnou baktériou
A4151;Sepsa zapríčinená Escherichia coli[E. coli]
A4152;Sepsa zapríčinená pseudomonas
A4153;Sepsa zapríč.multirezistentnou gramnegat.baktériou
A4158;Sepsa zapríčinená inou gramnegatívnou baktériou
A4181;Sepsa zapríč.multirezistentnou grampozit.baktériou
A4189;Iná sepsa, bližšie určená
A46;Eryzipel[Erysipelas,Ruža]
A480;Plynová gangréna
A481;Legionelóza s pneumóniou[Legionárska choroba]
A482;Legionelóza bez pneumónie[Pontiacka horúčka]
A500;Včasný vrodený syfilis,symptomatický
A501;Včasný vrodený syfilis,latentný
A502;Včasný vrodený syfilis,bližšie neurčený
A503;Neskorá vrodená syfilitická okulopatia
A504;Neskorý vrodený neurosyfilis[Juvenilný neurosyfilis]
A711;Trachóm,aktívne štádium
A7481;Chlamýdiová dilatačná kardiomyopatia
A7482;Chlamýdiová myokarditída
A7483;Chlamýdiová endokarditída
A7484;Chlamýdiová artritída
A7489;Iná chlamýdiová choroba
A811;Subakútna sklerotizujúca panencefalitída
A86;Vírusová encefalitída,bližšie neurčená
A870;Enterovírusová meningitída (G02.0*)
A89;Vírusová infekcia CNS,bliž.nurč.
A960;Hemoragická horúčka zapríčinená vírusom Junin
A961;Hemoragická horúčka zapríčinená vírusom Machupo
A962;Horúčka Lassa
A968;Iná arenavírusová hemoragická horúčka
A969;Arenavírusová hemoragická horúčka,bližšie neurčená
A983;Choroba zapríčinená vírusom Marburg
A985;Hemoragická horúčka s renálnym syndrómom
B000;Herpetický ekzém
B001;Herpetická vezikulárna dermatitída
B002;Herpetická gingivostomatitída a tonzilofaryngitída
B003;Herpetická meningitída(G02.0*)
B004;Herpetická encefalitída(G05.1*)
B005;Očná infekcia herpetickým vírusom
B007;Diseminovaná herpetická choroba
B008;Iná forma herpetickej infekcie
B009;Herpetická infekcia,bližšie neurčená
B010;Varicelová meningitída(G02.0*)
B011;Varicelová encefalitída(G05.1*)
B012;Varicelový zápal pľúc(J17.1*)
B018;Varicela s inými komplikáciami
B019;Varicela bez komplikácií
B020;Zosterová encefalitída(G05.1*)
B021;Zosterová meningitída(G02.0*)
B022;Zoster s postihnutím iných častí nervovej sústavy
B023;Zosterová choroba oka
B027;Diseminovaný zoster
B028;Zoster s inými komplikáciami
B029;Zoster bez komplikácií
B050;Osýpky komplikované encefalitídou(G05.1*)
B051;Osýpky komplikované meningitídou(G05.1*)
B052;Osýpky komplikované pneumóniou(J17.1*)
B053;Osýpky komplikované zápalom stredného ucha
B054;Osýpky s črevnými komplikáciami
B058;Osýpky s inými komplikáciami
B060;Ružienka s nervovými komplikáciami
B068;Ružienka s inými komplikáciami
B085;Enterovírusová vezikulárna faryngitída
B150;Akútna hepatitída A s pečeňovou kómou
B159;Akútna hepatitída A bez pečeňovej kómy
B160;Akútna hepatit.B s Delta vírusom(koinfekcia),s pečeň.kómou
B161;Akútna hepatit.B s Delta vírusom(koinfekcia),bez pečeň.kómy
B162;Akútna hepatit.B bez Delta vírusu,s pečeňovou kómou
B169;Akútna hepatit.B bez Delta vírusu,bez pečeňovej kómy
B170;Akútna Delta-vírus.(super)infekcia nosiča vírusu hepatit.B
B171;Akútna hepatitída C
B172;Akútna hepatitída E
B178;Iná akútna vírusová hepatitída,bližšie určená
B179;Akútna vírusová hepatitída,bližšie neurčená
B180;Chronická hepatitída B s Delta vírusom
B181;Chronická hepatitída B bez Delta vírusu
B182;Chronická hepatitída C
B188;Iná chronická vírusová hepatitída
B189;Chronická vírusová hepatitída,bližšie neurčená
B190;Vírusová hepatit.s pečeňovou kómou,bliž.neurč.
B199;Vírusová hepatit.bez pečeňovej kómy,bliž.neurč.
B200;Choroba HIV následnými mykobakteriovými infekciami
B201;Choroba HIV následnými inými bakteriovými infekciami
B202;Choroba HIV následnými cytomegalovírusovou chorobou
B203;Choroba HIV následnými do inými vírusovými infekciami
B204;Choroba HIV s následnými kandidózami
B205;Choroba HIV s následnými inými mykózami
B206;Choroba HIV s následnou pneumocystovou pneumóniou
B207;Choroba HIV s následnými viacpočetnými infekciami
B208;Choroba HIV následnými iných.infekčnými a parazit.chorobami
B209;Choroba HIV následnými infekčnými/paraz.chor.bliž.neurč.
B210;Choroba HIV s následným Kaposiho sarkómom
B211;Choroba HIV s následným Burkittovým lymfómom
B212;Choroba HIV násled.inými typmi nehodgkinovho lymfómu
B213;Choroba HIV násled.inými zhub.nád.lymf.krvotv.a príb.tkan.
B217;Choroba HIV násled.viacpočetnými zhub.nádormi
B218;Choroba HIV s následnými inými zhubnými nádormi
B219;Choroba HIV následnými.zhubnými nádormi,bliž.neur.
B220;Choroba HIV s následnou encefalopatiou
B221;Choroba HIV s násled.lymfoidnou intersticiál.pneumonitídou
B222;Choroba HIV s následným syndrómom celkového upadania
B227;Choroba HIVs následnými rozličnými chorobami zatried.inde
B230;Syndróm akútnej infekcie HIV
B231;Choroba HIV s následnou generalizovanou lymfadenopatiou
B232;Choroba HIV následnými hematolog.a imunolog.abnormalit.n.i.
B238;Choroba HIV s inými následnými,bliž.urč.stavmi
B24;Choroba HIV,bližšie neurčená
B250;Cytomegalovírusová pneumónia(J17.1*)
B251;Cytomegalovírusová hepatitída(K77.0*)
B252;Cytomegalovírusová pankreatitída(K87.1*)
B2580;Cytomegalovírusová infekcia tráviacej trubice
B2588;Iná cytomegalovírusová choroba
B259;Cytomegalovírusová choroba,bližšie neurčená
B260;Parotitická orchitída(N51.1*)
B261;Parotitická meningitída(G02.0*)
B262;Parotitická encefalitída(G05.1*)
B263;Parotitická pankreatitída(K87.1*)
B268;Parotitída s inými komplikáciami
B270;Mononukleóza zapríčinená gamma - Herpes vírusom
B271;Cytomegalovírusová mononukleóza
B278;Iná infekčná mononukleóza
B279;Infekčná mononukleóza,bližšie neurčená
B301;Konjunktivitída zapríčinená adenovírusom(H13.1*)
B303;Akútna epidemická hemorag.konjunktivitída(enterovír.)
B332;Vírusová karditída
B340;Adenovírusová infekcia bez bližšieho určenia miesta
B371;Pľúcna kandidóza
B372;Kandidóza kože a nechtov
B374;Kandidóza iných častí močovopohlavnej sústavy
B375;Kandidová meningitída(G02.1*)
B376;Kandidová endokarditída(I39.8*)
B3781;Kandidová ezofagitída
B380;Akútna kokcidioidomykóza pľúc
B381;Chronická kokcidioidomykóza pľúc
B382;Kokcidioidomykóza pľúc,bližšie neurčená
B383;Kokcidioidomykóza kože
B384;Kokcidioidomykotická meningitída (G02.1*)
B387;Diseminovaná kokcidioidomykóza
B388;Iná forma kokcidioidomykózy
B390;Akútna histoplazmóza pľúc zapríč.Histoplasma capsulatum
B391;Chronická histoplazmóza pľúc zapríč.Histoplasma capsulatum
B392;Histoplazmóza pľúc zapríč.Histoplasma capsulatum,bliž.neurč.
B400;Akútna blastomykóza pľúc
B401;Chronická blastomykóza pľúc
B402;Blastomykóza pľúc,bližšie neurčená
B403;Blastomykóza kože
B407;Diseminovaná blastomykóza
B408;Iná forma blastomykózy
B409;Blastomykóza,bližšie neurčená
B410;Parakokcidioidomykóza pľúc
B417;Diseminovaná parakokcidioidomykóza
B418;Iná forma parakokcidioidomykózy
B419;Parakokcidioidomykóza,bližšie neurčená
B440;Invazívna aspergilóza pľúc
B441;Iná aspergilóza pľúc
B442;Aspergilóza tonzíl
B447;Diseminovaná aspergilóza
B448;Iná forma aspergilózy
B449;Aspergilóza,bližšie neurčená
B450;Kryptokokóza pľúc
B451;Kryptokokóza mozgu
B452;Kryptokokóza kože
B453;Kryptokokóza kostí
B457;Diseminovaná kryptokokóza
B458;Iná forma kryptokokózy
B459;Kryptokokóza,bližšie neurčená
B460;Mukormykóza pľúc
B461;Rinocerebrálna mukormykóza
B462;Mukormykóza tráviacej trubice
B463;Mukormykóza kože
B464;Diseminovaná mukormykóza
B465;Mukormykóza,bližšie neurčená
B468;Iná zygomykóza
B469;Zygomykóza,bližšie neurčená
B470;Eumycetóm
B471;Aktinomycetóm
B482;Allescherióza
B487;Mykóza zapríčinená oportunistickým patogénom
B500;Malária zapríč.Plasmodium falciparum s mozgov.kompl.
B508;Iná ťažká a kompl.malária zapríč.Plasmodium falciparum
B509;Malária zapríčinenáPlasmodium falciparum,b.n.
B510;Malária zapríčinená Plasmodium vivax s ruptúrou sleziny
B518;Malária zapríčinená Plasmodium vivax s i.kompl.
B519;Malária zapríčinená Plasmodium vivax bez kompl.
B520;Malária zapríčinená Plasmodium malariae s nefropatiou
B528;Malária zapríčinená Plasmodium malariae s i.kompl.
B529;Malária zapríčinená Plasmodium malariae bez kompl.
B530;Malária zapríčinená Plasmodium ovale
B531;Malária zapríčinená opičími plazmódiami
B538;Iná parazitologicky potvrdená malária,nezatriedená.inde
B54;Malária,bližšie neurčená
B580;Toxoplazmová okulopatia
B581;Toxoplazmová hepatitída (K77.0*)
B582;Toxoplazmová meningoencefalitída(G05.2*)
B583;Toxoplazmóza pľúc(J17.3*)
B588;Toxoplazmóza s postihnutím iných orgánov
B589;Toxoplazmóza,bližšie neurčená
B59;Pneumocystóza (J17.3*)
B970;Adenovírus ako príčina chorôb zatriedených inde
B971;Enterovírus ako príčina chorôb zatriedených inde
C000;Zhubný nádor vonkajšej hornej pery
C001;Zhubný nádor vonkajšej dolnej pery
C002;Zhubný nádor vonkajšej pery,bližšie neurčený
C003;Zhubný nádor vnútornej strany hornej pery
C004;Zhubný nádor vnútornej strany dolnej pery
C005;Zhubný nádor vnútornej strany pery,bliž.neurč.
C006;Zhubný nádor spojky perí
C008;Zhubný nádor pery presahujúci viaceré oblasti
C009;Zhubný nádor pery,bližšie neurčený
C01;Zhubný nádor koreňa jazyka
C020;Zhubný nádor chrbtovej strany jazyka
C021;Zhubný nádor okraja jazyka
C022;Zhubný nádor spodnej strany jazyka
C023;Zhubný nádor predných dvoch tretín jazyka, bliž.neurč.časť
C028;Zhubný nádor jazyka presahujúci viaceré oblasti
C029;Zhubný nádor jazyka,bližšie neurčený
C030;Zhubný nádor horného ďasna
C031;Zhubný nádor dolného ďasna
C039;Zhubný nádor ďasna,bližšie neurčený
C040;Zhubný nádor prednej časti ústnej spodiny
C041;Zhubný nádor bočnej časti ústnej spodiny
C048;Zhub.nádor ústnej spodiny presah.viaceré obl.
C049;Zhubný nádor ústnej spodiny,bližšie neurčený
C050;Zhubný nádor tvrdého podnebia
C051;Zhubný nádor mäkkého podnebia
C052;Zhubný nádor uvuly
C058;Zhubný nádor podnebia presahujúci viaceré oblasti
C059;Zhubný nádor podnebia,bližšie neurčený
C060;Zhubný nádor sliznice líca
C061;Zhubný nádor vestibulum oris
C062;Zhubný nádor retromolárnej časti úst
C068;Zhubný nádor iných a bliž.neurč.častí.úst,presah.viaceré obl.
C069;Zhubný nádor úst,bližšie neurčený
C07;Zhubný nádor príušnej žľazy
C080;Zhubný nádor submandibulárnej slinnej žľazy
C081;Zhubný nádor sublingválnej slinnej žľazy
C088;Zhubný nádor veľkých slinných žliaz,presah.viac.obl.
C089;Zhubný nádor veľkej slinnej žľazy,bližšie neurčený
C090;Zhubný nádor fossa tonsillaris
C091;Zhubný nádor podnebného oblúka(predná časť)(zadná časť)
C098;Zhubný nádor mandle presahujúci viaceré oblasti
C100;Zhubný nádor vallecula epiglottica
C101;Zhubný nádor prednej plochy epiglottis
C102;Zhubný nádor bočnej steny orofaryngu
C103;Zhubný nádor zadnej steny orofaryngu
C104;Zhubný nádor branchiálneho rázštepu
C108;Zhubný nádor orofaryngu presahujúci viaceré oblasti
C109;Zhubný nádor orofaryngu,bližšie neurčený
C110;Zhubný nádor hornej steny nazofaryngu
C111;Zhubný nádor zadnej steny nazofaryngu
C112;Zhubný nádor bočnej steny nazofaryngu
C113;Zhubný nádor prednej steny nazofaryngu
C118;Zhubný nádor nosohltana presah.viac.obl.
C119;Zhubný nádor nazofaryngu,bližšie neurčený
C12;Zhubný nádor recessus piriformis
C130;Zhubný nádor regio postcricoidea
C131;Zhubný nádor hypofaryngovej strany aryepiglotickej krkvy
C132;Zhubný nádor zadnej steny hypofaryngu
C138;Zhubný nádor hypofaryngu presah.viac. obl.
C139;Zhubný nádor hypofaryngu,bližšie neurčený
C140;Zhubný nádor faryngu,bližšie neurčený
C142;Zhubný nádor Waldeyerovho lymfatického okruhu
C148;Zhub.nádor pery,ústnej dutiny a hltana presah.viac.obl.
C150;Zhubný nádor krčnej časti pažeráka
C151;Zhubný nádor hrudníkovej časti pažeráka
C152;Zhubný nádor brušnej časti pažeráka
C153;Zhubný nádor hornej tretiny pažeráka
C154;Zhubný nádor strednej tretiny pažeráka
C155;Zhubný nádor dolnej tretiny pažeráka
C158;Zhubný nádor pažeráka presahujúci viaceré oblasti
C159;Zhubný nádor pažeráka,bližšie neurčený
C160;Zhubný nádor kardie
C161;Zhubný nádor fundu žalúdka
C162;Zhubný nádor tela žalúdka
C163;Zhubný nádor antra pyloru
C164;Zhubný nádor pyloru
C165;Zhub.nádor malej kurvatúry žalúdka,bliž.neurč.
C166;Zhub.nádor veľkej kurvatúry žalúdka,bliž.neurč.
C168;Zhubný nádor žalúdka presahujúci viaceré oblasti
C169;Zhubný nádor žalúdka,bližšie neurčený
C170;Zhubný nádor dvanástnika
C171;Zhubný nádor jejúna
C172;Zhubný nádor ilea
C173;Zhubný nádor Meckelovho divertikula
C178;Zhubný nádor tenkého čreva presah.viac.obl.
C179;Zhubný nádor tenkého čreva,bližšie neurčený
C180;Zhubný nádor slepého čreva
C181;Zhubný nádor červovitého prívesku slepého čreva
C182;Zhubný nádor vzostupnej časti hrubého čreva
C183;Zhubný nádor pečeňového ohybu hrubého čreva
C184;Zhubný nádor priečnej časti hrubého čreva
C185;Zhubný nádor slezinového ohybu hrubého čreva
C186;Zhubný nádor zostupnej časti hrubého čreva
C187;Zhubný nádor esovitej časti hrubého čreva
C188;Zhubný nádor hrubého čreva presah.viac.obl.
C189;Zhubný nádor hrubého čreva,bližšie neurčený
C19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
C20;Zhubný nádor konečníka
C210;Zhubný nádor anusu,bližšie neurčený
C211;Zhubný nádor análneho kanála
C212;Zhubný nádor kloakovej oblasti
C218;Zhubný nádor rekta,anusu a análneho kanála presah.viac.obl.
C220;Hepatocelulárny karcinóm
C221;Karcinóm vnútropečeňových žlčových ciest
C222;Hepatoblastóm
C223;Angiosarkóm pečene
C224;Iný sarkóm pečene
C227;Iný karcinóm pečene,bližšie určený
C229;Zhubný nádor pečene,bližšie neurčený
C23;Zhubný nádor žlčníka
C240;Zhubný nádor mimopečeňových žlčových ciest
C241;Zhubný nádor ampulla Vateri
C248;Zhubný nádor žlčových ciest presah.viac.obl.
C249;Zhubný nádor žlčových ciest,bližšie neurčený
C250;Zhubný nádor hlavy podžalúdkovej žľazy
C251;Zhubný nádor tela podžalúdkovej žľazy
C252;Zhubný nádor chvosta podžalúdkovej žľazy
C253;Zhubný nádor vývodu podžalúdkovej žľazy
C254;Zhubný nádor endokrinnej časti podžalúdkovej žľazy
C257;Zhubný nádor iných častí podžalúdkovej žľazy
C258;Zhubný nádor podžalúdkovej žľazy presah.viac.obl.
C259;Zhubný nádor podžalúdkovej žľazy,bližšie neurčený
C260;Zhubný nádor bliž.neurč.časti črevného traktu
C261;Zhubný nádor sleziny
C268;Zhubný nádor tráviacej sústavy presah.viac.obl.
C269;Zhubný nádor na nepresne určenom mieste tráviacej súst.
C300;Zhubný nádor nosovej dutiny
C301;Zhubný nádor stredného ucha
C310;Zhubný nádor čeľustnej dutiny
C311;Zhubný nádor čuchovej dutiny
C312;Zhubný nádor čelovej dutiny
C313;Zhubný nádor dutiny klinovej kosti
C318;Zhubný nádor prinosovej dutiny presah.viac.obl.
C319;Zhubný nádor bližšie neurčenej prinosovej dutiny
C320;Zhubný nádor glottis
C321;Zhubný nádor supraglottis
C322;Zhubný nádor subglottis
C323;Zhubný nádor hrtanovej chrupky
C328;Zhubný nádor hrtana presahujúci viaceré oblasti
C329;Zhubný nádor hrtana, bližšie neurčený
C33;Zhubný nádor priedušnice
C340;Zhubný nádor hlavnej priedušky
C341;Zhubný nádor priedušky alebo pľúc v hornom laloku
C342;Zhubný nádor priedušky alebo pľúc v strednom laloku
C343;Zhubný nádor priedušky alebo pľúc v dolnom laloku
C348;Zhubný nádor priedušky alebo pľúc,presah.viac.obl.
C349;Zhubný nádor priedušky alebo pľúc,bližšie neurčený
C37;Zhubný nádor týmusu
C380;Zhubný nádor srdca
C381;Zhubný nádor predného mediastína
C382;Zhubný nádor zadného mediastína
C383;Zhubný nádor bližšie neurčenej časti mediastína
C384;Zhubný nádor pohrudnice
C388;Zhubný nádor srdca,mediastína a pohrudnice presah.viac.obl.
C390;Zhubný nádor bliž.neurč.časti horných dýchacích ciest
C398;Zhubný nádor dých.a vnútrohrud.orgánov presah.viac.obl.
C399;Zhubný nádor na nepres.urč.miestach dýchacej sústavy
C400;Zhubný nádor kosti a kĺb.chrupky lopatky a dlhých kostí HK
C401;Zhubný nádor kosti a kĺbovej chrupky krátkych kostí HK
C402;Zhubný nádor kosti a kĺbovej chrupky dlhých kostí DK
C403;Zhubný nádor kosti a kĺbovej chrupky krátkych kostí DK
C408;Zhubný nádor kosti a kĺb.chrupky končatín,presah.viac.obl.
C409;Zhubný nádor kosti a kĺbovej chrupky končatiny,bliž.neurč.
C411;Zhubný nádor kosti a kĺbovej chrupky dolnej čeľuste(sánky)
C412;Zhubný nádor kosti a kĺbovej chrupky chrbtice
C4130;Zhubný nádor kosti a kĺbovej chrupky rebra
C4131;Zhubný nádor kosti a kĺbovej chrupky hrudnej kosti
C4132;Zhubný nádor kosti a kĺbovej chrupky kľúčnej kosti
C414;Zhubný nádor kosti a kĺbovej chrupky panvovej kosti
C418;Zhubný nádor kosti a kĺbovej chrupky presah.viac.obl.
C419;Zhubný nádor kosti a kĺbovej chrupky,bliž.neurč.
C430;Malígny melanóm pery
C431;Malígny melanóm mihalnice vrátane očného kútika
C432;Malígny melanóm ucha a vonkajšieho zvukovodu
C433;Malígny melanóm inej a bliž.neurč.časti tváre
C434;Malígny melanóm vlasatej časti hlavy a krku
C435;Malígny melanóm trupu
C436;Malígny melanóm hornej končatiny vrátane pleca
C437;Malígny melanóm dolnej končatiny vrátane bedra
C438;Malígny melanóm presahujúci viaceré oblasti
C439;Malígny melanóm kože,bližšie neurčený
C440;Iný zhubný nádor kože pery
C441;Iný zhubný nádor kože mihlanice vrátane očného kútika
C442;Iný zhubný nádor kože ucha a vonkajšieho zvukovodu
C443;Iný zhubný nádor kože iných.a bliž.neurč.častí tváre
C444;Iný zhubný nádor kože vlasatej časti hlavy a krku
C445;Iný zhubný nádor kože trupu
C446;Zhubný nádor kože hornej končatiny vrátane pleca
C447;Zhubný nádor kože dolnej končatiny vrátane bedra
C448;Zhubný nádor kože presahujúci viaceré oblasti
C449;Zhubný nádor kože,bližšie neurčený
C450;Mezotelióm pohrudnice
C451;Mezotelióm pobrušnice
C452;Mezotelióm osrdcovníka
C457;Mezotelióm na inom mieste
C459;Mezotelióm,bližšie neurčený
C470;Zhubný nádor periférnych nervov hlavy,tváre a krku
C471;Zhubný nádor periférnych nervov HK vrátane pleca
C472;Zhubný nádor periférnych nervov DK vrátane bedra
C473;Zhubný nádor periférnych nervov hrudníka
C474;Zhubný nádor periférnych nervov brucha
C475;Zhubný nádor periférnych nervov panvy
C476;Zhubný nádor periférnych nervov trupu,bliž.neurč.
C478;Zhub.nádor perifér.nerv. a autonóm.nerv.súst.presah.viac.obl.
C479;Zhubný nádor perifér.nervov a autonóm.nerv.súst.,bliž.neurč.
C480;Zhubný nádor retroperitonea
C481;Zhubný nádor pobrušnice,bližšie určenej časti
C482;Zhubný nádor pobrušnice,bližšie neurčenej časti
C488;Zhubný nádor retroperitonea a pobrušnice presah.viac.obl.
C490;Zhubný nádor spojivového a mäkk.tkaniva hlavy,tváre a krku
C491;Zhubný nádor spojivového a mäkk.tkaniva HK vrátane pleca
C492;Zhubný nádor spojivového a mäkk.tkaniva DK vrátane bedra
C493;Zhubný nádor spojivového a mäkkého tkaniva hrudníka
C494;Zhubný nádor spojivového a mäkkého tkaniva brucha
C495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
C496;Zhubný nádor spojivového a mäkkého tkaniva trupu,bliž.neurč.
C498;Zhub.nádor spojiv.a mäk.tkan.,presah.viac.obl.
C499;Zhub.nádor spojiv.a mäk.tkan.,b.n.
C500;Zhubný nádor prsníkovej bradavky a dvorčeka
C501;Zhubný nádor strednej časti prsníka
C502;Zhubný nádor horného vnútorného kvadrantu prsníka
C503;Zhubný nádor dolného vnútorného kvadrantu prsníka
C504;Zhubný nádor horného vonkajšieho kvadrantu prsníka
C505;Zhubný nádor dolného vonkajšieho kvadrantu prsníka
C506;Zhubný nádor axilárnej časti prsníka
C508;Zhubný nádor prsníka presahujúci viaceré oblasti
C509;Zhubný nádor prsníka,bližšie neurčený
C510;Zhubný nádor veľkého pysku
C511;Zhubný nádor malého pysku
C512;Zhubný nádor klitorisu
C518;Zhubný nádor vulvy presahujúci viaceré oblasti
C519;Zhubný nádor vulvy,bližšie neurčený
C52;Zhubný nádor pošvy
C530;Zhubný nádor endocervixu maternice
C531;Zhubný nádor exocervixu maternice
C538;Zhubný nádor krčka maternice presah.viac.obl.
C539;Zhubný nádor krčka maternice,bližšie neurčený
C540;Zhubný nádor istmu maternice
C541;Zhubný nádor endometria
C542;Zhubný nádor myometria
C543;Zhubný nádor dna maternice
C548;Zhub.nádor tela maternice presah.viac.obl.
C549;Zhubný nádor tela maternice,bližšie neurčený
C55;Zhubný nádor bližšie neurčenej časti maternice
C56;Zhubný nádor vaječníka
C570;Zhubný nádor vajíčkovodu
C571;Zhubný nádor širokého väzu maternice
C572;Zhubný nádor oblého väzu maternice
C573;Zhubný nádor parametria
C574;Zhubný nádor adnexov maternice,bližšie neurčený
C577;Zhubný nádor iných ženských pohlavných orgánov,bliž.urč.
C578;Zhubný nádor ženských.pohlavných orgánov,presah.viac.obl.
C579;Zhubný nádor ženského pohlavného orgánu,bliž.neurč.
C600;Zhubný nádor predkožky penisu
C601;Zhubný nádor žaluďa penisu
C602;Zhubný nádor tela penisu
C608;Zhubný nádor penisu presahujúci viaceré oblasti
C609;Zhubný nádor penisu,bližšie neurčený
C620;Zhubný nádor nezostúpeného semenníka
C621;Zhubný nádor zostúpeného semenníka
C629;Zhubný nádor semenníka,bližšie neurčený
C630;Zhubný nádor nadsemenníka
C631;Zhubný nádor semenného povrazca
C632;Zhubný nádor mieška
C637;Zhubný nádor iných mužských pohlavných orgánov,bliž.urč.
C638;Zhubný nádor mužských pohlavných orgánov presah.viac.obl.
C639;Zhubný nádor mužského pohlavného orgánu,bliž.neurč.
C64;Zhubný nádor obličky okrem obličkovej panvičky
C65;Zhubný nádor obličkovej panvičky
C66;Zhubný nádor močovodu
C670;Zhubný nádor trigonum močového mechúra
C671;Zhubný nádor klenby močového mechúra
C672;Zhubný nádor bočnej steny močového mechúra
C673;Zhubný nádor prednej steny močového mechúra
C674;Zhubný nádor zadnej steny močového mechúra
C675;Zhubný nádor krčka močového mechúra
C676;Zhubný nádor ústia močovodu
C677;Zhubný nádor urachu
C678;Zhubný nádor močového mechúra,presah.viac.obl.
C679;Zhubný nádor močového mechúra,bližšie neurčený
C680;Zhubný nádor močovej rúry
C681;Zhubný nádor parauretrálnej žľazy
C688;Zhubný nádor močových orgánov presah.viac.obl.
C689;Zhubný nádor bližšie neurčených močových orgánov
C690;Zhubný nádor spojovky
C691;Zhubný nádor rohovky
C692;Zhubný nádor sietnice
