kod_hlavneho_vykonu;nazov_hlavneho_vykonu;kod_ms;nazov_ms
5t07az;Odstránenie intramedulárneho prúta/drôtu, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t07bd;Odstránenie uhlovostabilnej dlahy, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t07bz;Odstránenie uhlovostabilnej dlahy, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t07cd;Odstránenie uhlovej/kondylárnej dlahy, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t07cz;Odstránenie uhlovej/kondylárnej dlahy, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t07dd;Odstránenie skoby, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t07dz;Odstránenie skoby, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t07td;Odstránenie vonkajšieho fixátora, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t07tz;Odstránenie vonkajšieho fixátora, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t07vd;Odstránenie kruhového vonkajšieho fixátora, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t07xd;Odstránenie iného osteosyntetického materiálu, prípadne revízia panvy;S02-03;Odstránenie osteosyntézy zložité
5t07xz;Odstránenie iného osteosyntetického materiálu, prípadne revízia skapuly;S02-03;Odstránenie osteosyntézy zložité
5t070d;Revízia osteosyntetického materiálu panvy bez výmeny materiálu;S02-05;Osteosyntéza panvy a acetabula
5t172;Otvorená repozícia zlomeniny panvových kostí a panvového kruhu, osteosyntéza drôtom;S02-05;Osteosyntéza panvy a acetabula
5t174;Otvorená repozícia zlomeniny panvových kostí a panvového kruhu, osteosyntéza ťahovou serklážou;S02-05;Osteosyntéza panvy a acetabula
5t17g;Otvorená repozícia zlomeniny panvových kostí a panvového kruhu, osteosyntéza závitnicou;S02-05;Osteosyntéza panvy a acetabula
5t17h;Otvorená repozícia zlomeniny okraju panvových kostí, osteosyntéza skrutkou;S02-05;Osteosyntéza panvy a acetabula
5t17k;Otvorená repozícia zlomeniny zadnej časti panvového kruhu, osteosyntéza skrutkou;S02-05;Osteosyntéza panvy a acetabula
5t17n;Otvorená repozícia zlomeniny prednej časti panvového kruhu, osteosyntéza uhlovostabilnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t17o;Otvorená repozícia zlomeniny zadnej časti panvového kruhu, osteosyntéza uhlovostabilnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t17r;Otvorená repozícia zlomeniny prednej časti panvového kruhu, osteosyntéza dlahou;S02-05;Osteosyntéza panvy a acetabula
5t17s;Otvorená repozícia zlomeniny zadnej časti panvového kruhu, osteosyntéza dlahou;S02-05;Osteosyntéza panvy a acetabula
5t17u;Otvorená repozícia zlomeniny panvových kostí a panvového kruhu, osteosyntéza  vnútorným skeletárnym fixátorom;S02-05;Osteosyntéza panvy a acetabula
5t17x;Otvorená repozícia zlomeniny panvových kostí a panvového kruhu, osteosyntéza iným osteosyntetickým materiálom;S02-05;Osteosyntéza panvy a acetabula
5t17z;Otvorená repozícia zlomeniny panvových kostí a panvového kruhu, osteosyntéza rezorbovateľným materiálom;S02-05;Osteosyntéza panvy a acetabula
5t18i;Otvorená repozícia zlomeniny prednej časti acetabula a hlavy femuru, osteosyntéza skrutkou;S02-05;Osteosyntéza panvy a acetabula
5t18j;Otvorená repozícia zlomeniny zadnej časti acetabula a hlavy femuru, osteosyntéza skrutkou;S02-05;Osteosyntéza panvy a acetabula
5t18n;Otvorená repozícia zlomeniny prednej časti acetabula a hlavy femuru, osteosyntéza uhlovostabilnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t18o;Otvorená repozícia zlomeniny zadnej časti acetabula a hlavy femuru, osteosyntéza uhlovostabilnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t18p;Otvorená repozícia zlomeniny prednej časti acetabula a hlavy femuru, osteosyntéza dlahou;S02-05;Osteosyntéza panvy a acetabula
5t18q;Otvorená repozícia zlomeniny zadnej časti acetabula a hlavy femuru, osteosyntéza dlahou;S02-05;Osteosyntéza panvy a acetabula
5t18t;Otvorená repozícia zlomeniny acetabula a hlavy femuru, osteosyntéza vonkajším skeletárnym fixátorom;S02-05;Osteosyntéza panvy a acetabula
5t18x;Otvorená repozícia zlomeniny acetabula a hlavy femuru, osteosyntéza iným osteosyntetickým materiálom;S02-05;Osteosyntéza panvy a acetabula
5t18y;Otvorená repozícia zlomeniny acetabula a hlavy femuru, osteosyntéza bližšie neurčeným materiálom;S02-05;Osteosyntéza panvy a acetabula
5t190e;Otvorená repozícia luxácie iliosakrálneho kĺbu bez osteosyntézy ;S02-05;Osteosyntéza panvy a acetabula
5t190f;Otvorená repozícia luxácie symfýzy bez osteosyntézy ;S02-05;Osteosyntéza panvy a acetabula
5t191e;Otvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza skrutkou;S02-05;Osteosyntéza panvy a acetabula
5t191f;Otvorená repozícia luxácie symfýzy, osteosyntéza skrutkou;S02-05;Osteosyntéza panvy a acetabula
5t193e;Otvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza štandardnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t193f;Otvorená repozícia luxácie symfýzy, osteosyntéza štandardnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t194e;Otvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza drôtom alebo ťahovou serklážou;S02-05;Osteosyntéza panvy a acetabula
5t194f;Otvorená repozícia luxácie symfýzy, osteosyntéza drôtom alebo ťahovou serklážou;S02-05;Osteosyntéza panvy a acetabula
5t19be;Otvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza uhlovostabilnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t19bf;Otvorená repozícia luxácie symfýzy, osteosyntéza uhlovostabilnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t19de;Otvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza skobou;S02-05;Osteosyntéza panvy a acetabula
5t19df;Otvorená repozícia luxácie symfýzy, osteosyntéza skobou;S02-05;Osteosyntéza panvy a acetabula
5t19te;Otvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza vonkajším skeletárnym fixátorom;S02-05;Osteosyntéza panvy a acetabula
5t19tf;Otvorená repozícia luxácie symfýzy, osteosyntéza vonkajším skeletárnym fixátorom;S02-05;Osteosyntéza panvy a acetabula
5t19xe;Otvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza iným osteosyntetickým materiálom;S02-05;Osteosyntéza panvy a acetabula
5t19xf;Otvorená repozícia luxácie symfýzy, osteosyntéza iným osteosyntetickým materiálom;S02-05;Osteosyntéza panvy a acetabula
5t19ze;Otvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza rezorbovateľným materiálom;S02-05;Osteosyntéza panvy a acetabula
5t19zf;Otvorená repozícia luxácie symfýzy, osteosyntéza rezorbovateľným materiálom;S02-05;Osteosyntéza panvy a acetabula
5t211d;Zatvorená repozícia zlomeniny alebo epifyzeolýzy panvy, osteosyntéza skrutkou ;S02-05;Osteosyntéza panvy a acetabula
5t213d;Zatvorená repozícia zlomeniny alebo epifyzeolýzy panvy, osteosyntéza štandardnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t214d;Zatvorená repozícia zlomeniny alebo epifyzeolýzy panvy, osteosyntéza drôtom alebo ťahovou serklážou;S02-05;Osteosyntéza panvy a acetabula
5t219d;Zatvorená repozícia zlomeniny alebo epifyzeolýzy panvy, osteosyntéza transfixačným klincom;S02-05;Osteosyntéza panvy a acetabula
5t21bd;Zatvorená repozícia zlomeniny alebo epifyzeolýzy panvy, osteosyntéza uhlovostabilnou dlahou;S02-05;Osteosyntéza panvy a acetabula
5t21xd;Zatvorená repozícia zlomeniny alebo epifyzeolýzy panvy, osteosyntéza iným osteosyntetickým materiálom;S02-05;Osteosyntéza panvy a acetabula
5t221e;Zatvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza skrutkou ;S02-05;Osteosyntéza panvy a acetabula
5t221f;Zatvorená repozícia luxácie symfýzy, osteosyntéza skrutkou ;S02-05;Osteosyntéza panvy a acetabula
5t221g;Zatvorená repozícia luxácie bedrového kĺbu, osteosyntéza skrutkou  ;S02-05;Osteosyntéza panvy a acetabula
5t224e;Zatvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza drôtom alebo ťahovou serklážou;S02-05;Osteosyntéza panvy a acetabula
5t224f;Zatvorená repozícia luxácie symfýzy, osteosyntéza drôtom alebo ťahovou serklážou;S02-05;Osteosyntéza panvy a acetabula
5t224g;Zatvorená repozícia luxácie bedrového kĺbu, osteosyntéza drôtom alebo ťahovou serklážou ;S02-05;Osteosyntéza panvy a acetabula
5t22xe;Zatvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza iným osteosyntetickým materiálom;S02-05;Osteosyntéza panvy a acetabula
5t22xf;Zatvorená repozícia luxácie symfýzy, osteosyntéza iným osteosyntetickým materiálom;S02-05;Osteosyntéza panvy a acetabula
5t22xg;Zatvorená repozícia luxácie bedrového kĺbu, osteosyntéza iným osteosyntetickým materiálom ;S02-05;Osteosyntéza panvy a acetabula
5t22ze;Zatvorená repozícia luxácie iliosakrálneho kĺbu, osteosyntéza rezorbovateľným materiálom;S02-05;Osteosyntéza panvy a acetabula
5t22zf;Zatvorená repozícia luxácie symfýzy, osteosyntéza rezorbovateľným materiálom;S02-05;Osteosyntéza panvy a acetabula
5t22zg;Zatvorená repozícia luxácie bedrového kĺbu, osteosyntéza rezorbovateľným materiálom ;S02-05;Osteosyntéza panvy a acetabula
5k740;Sutúra perikardu po poranení;S02-29;Výkony vnútrohrudné akútne pre traumu
5k743;Sutúra myokardu po poranení;S02-29;Výkony vnútrohrudné akútne pre traumu
5l1600;Sutúra bližšie neurčenej časti a. carotis;S02-30;Výkony pre poranenia artérií a vén
5l1601;Sutúra a. carotis communis a sinus caroticus;S02-30;Výkony pre poranenia artérií a vén
5l1602;Sutúra extrakraniálnej časti a. carotis interna ;S02-30;Výkony pre poranenia artérií a vén
5l1603;Sutúra a. carotis externa;S02-30;Výkony pre poranenia artérií a vén
5l1604;Sutúra extrakraniálnej časti a. vertebralis ;S02-30;Výkony pre poranenia artérií a vén
5l1605;Sutúra a. carotis s použitím stentu;S02-30;Výkony pre poranenia artérií a vén
5l160x;Sutúra tepien hlavy a krku, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1610;Sutúra a. axillaris;S02-30;Výkony pre poranenia artérií a vén
5l1611;Sutúra a. brachialis;S02-30;Výkony pre poranenia artérií a vén
5l161x;Sutúra tepien ramena, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1620;Sutúra a. ulnaris;S02-30;Výkony pre poranenia artérií a vén
5l1621;Sutúra arcus palmaris profundus;S02-30;Výkony pre poranenia artérií a vén
5l1622;Sutúra arcus palmaris superficialis;S02-30;Výkony pre poranenia artérií a vén
5l1623;Sutúra aa. digitales palmares communes;S02-30;Výkony pre poranenia artérií a vén
5l1624;Sutúra a. radialis;S02-30;Výkony pre poranenia artérií a vén
5l162x;Sutúra tepien predlaktia a ruky, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1630;Sutúra ascendentnej aorty;S02-30;Výkony pre poranenia artérií a vén
5l1631;Sutúra oblúka aorty;S02-30;Výkony pre poranenia artérií a vén
5l1632;Sutúra torakálnej aorty;S02-30;Výkony pre poranenia artérií a vén
5l1633;Sutúra abdominálnej aorty;S02-30;Výkony pre poranenia artérií a vén
5l163x;Sutúra aorty, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1640;Sutúra a. subclavia;S02-30;Výkony pre poranenia artérií a vén
5l1641;Sutúra truncus brachiocephalicus;S02-30;Výkony pre poranenia artérií a vén
5l1642;Sutúra a. pulmonalis;S02-30;Výkony pre poranenia artérií a vén
5l164x;Sutúra tepien hrudníka, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1650;Sutúra aa. lumbales;S02-30;Výkony pre poranenia artérií a vén
5l1651;Sutúra bližšie neurčenej časti a. iliaca;S02-30;Výkony pre poranenia artérií a vén
5l1652;Sutúra a. iliaca communis;S02-30;Výkony pre poranenia artérií a vén
5l1653;Sutúra a. iliaca externa;S02-30;Výkony pre poranenia artérií a vén
5l1654;Sutúra a. iliaca interna;S02-30;Výkony pre poranenia artérií a vén
5l165x;Sutúra tepien panvy a trupu, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1660;Sutúra truncus coeliacus;S02-30;Výkony pre poranenia artérií a vén
5l1661;Sutúra a. hepatica;S02-30;Výkony pre poranenia artérií a vén
5l1662;Sutúra a. gastrica;S02-30;Výkony pre poranenia artérií a vén
5l1663;Sutúra a. lienalis;S02-30;Výkony pre poranenia artérií a vén
5l1664;Sutúra a. renalis;S02-30;Výkony pre poranenia artérií a vén
5l1665;Sutúra a. mesenterica superior;S02-30;Výkony pre poranenia artérií a vén
5l1666;Sutúra a. mesenterica inferior;S02-30;Výkony pre poranenia artérií a vén
5l166x;Sutúra viscerálnych tepien, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1670;Sutúra a. femoralis;S02-30;Výkony pre poranenia artérií a vén
5l1671;Sutúra a. profunda femoris;S02-30;Výkony pre poranenia artérií a vén
5l1672;Sutúra a. poplitea;S02-30;Výkony pre poranenia artérií a vén
5l167x;Sutúra tepien stehna, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1680;Sutúra a. tibialis anterior;S02-30;Výkony pre poranenia artérií a vén
5l1681;Sutúra a. dorsalis pedis;S02-30;Výkony pre poranenia artérií a vén
5l1682;Sutúra a. tibialis posterior;S02-30;Výkony pre poranenia artérií a vén
5l1683;Sutúra a. fibularis;S02-30;Výkony pre poranenia artérií a vén
5l168x;Sutúra tepien predkolenia a nohy, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1690;Sutúra v. femoralis;S02-30;Výkony pre poranenia artérií a vén
5l1691;Sutúra v. poplitea;S02-30;Výkony pre poranenia artérií a vén
5l1692;Sutúra v. portae;S02-30;Výkony pre poranenia artérií a vén
5l1693;Sutúra v. gastrica;S02-30;Výkony pre poranenia artérií a vén
5l1694;Sutúra v. lienalis;S02-30;Výkony pre poranenia artérií a vén
5l1695;Sutúra v. mesenterica superior;S02-30;Výkony pre poranenia artérií a vén
5l1696;Sutúra v. mesenterica inferior;S02-30;Výkony pre poranenia artérií a vén
5l1697;Sutúra vv. hepaticae;S02-30;Výkony pre poranenia artérií a vén
5l1698;Sutúra v. renalis;S02-30;Výkony pre poranenia artérií a vén
5l1699;Sutúra v. jugularis;S02-30;Výkony pre poranenia artérií a vén
5l169a;Sutúra v. pulmonalis;S02-30;Výkony pre poranenia artérií a vén
5l169b;Sutúra v. subclavia;S02-30;Výkony pre poranenia artérií a vén
5l169c;Sutúra v. axillaris;S02-30;Výkony pre poranenia artérií a vén
5l169d;Sutúra v. brachiocephalica;S02-30;Výkony pre poranenia artérií a vén
5l169e;Sutúra v. cava superior;S02-30;Výkony pre poranenia artérií a vén
5l169f;Sutúra v. cava inferior;S02-30;Výkony pre poranenia artérií a vén
5l169g;Sutúra v. iliaca communis;S02-30;Výkony pre poranenia artérií a vén
5l169h;Sutúra v. iliaca externa;S02-30;Výkony pre poranenia artérií a vén
5l169i;Sutúra v. iliaca interna;S02-30;Výkony pre poranenia artérií a vén
5l169x;Sutúra hĺbkových žíl, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1700;Ligatúra bližšie neurčenej časti a. carotis;S02-30;Výkony pre poranenia artérií a vén
5l1701;Ligatúra a. carotis communis a sinus caroticus;S02-30;Výkony pre poranenia artérií a vén
5l1702;Ligatúra extrakraniálnej časti a. carotis interna ;S02-30;Výkony pre poranenia artérií a vén
5l1703;Ligatúra a. carotis externa;S02-30;Výkony pre poranenia artérií a vén
5l1704;Ligatúra extrakraniálnej časti a. vertebralis ;S02-30;Výkony pre poranenia artérií a vén
5l1705;Ligatúra a. carotis s použitím stentu;S02-30;Výkony pre poranenia artérií a vén
5l170x;Ligatúra tepien hlavy a krku, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1710;Ligatúra a. axillaris;S02-30;Výkony pre poranenia artérií a vén
5l1711;Ligatúra a. brachialis;S02-30;Výkony pre poranenia artérií a vén
5l171x;Ligatúra tepien ramena, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1720;Ligatúra a. ulnaris;S02-30;Výkony pre poranenia artérií a vén
5l1721;Ligatúra arcus palmaris profundus;S02-30;Výkony pre poranenia artérií a vén
5l1722;Ligatúra arcus palmaris superficialis;S02-30;Výkony pre poranenia artérií a vén
5l1723;Ligatúra aa. digitales palmares communes;S02-30;Výkony pre poranenia artérií a vén
5l1724;Ligatúra a. radialis;S02-30;Výkony pre poranenia artérií a vén
5l1725;Ligatúra r. carpalis palmaris;S02-30;Výkony pre poranenia artérií a vén
5l1726;Ligatúra r. carpalis dorsalis;S02-30;Výkony pre poranenia artérií a vén
5l1727;Ligatúra a. princeps pollicis;S02-30;Výkony pre poranenia artérií a vén
5l172x;Ligatúra tepien predlaktia a ruky, ostatné;S02-30;Výkony pre poranenia artérií a vén
5l1730;Ligatúra ascendentnej aorty;S02-30;Výkony pre poranenia artérií a vén
5l1731;Ligatúra oblúka aorty;S02-30;Výkony pre poranenia artérií a vén
5l1732;Ligatúra torakálnej aorty;S02-30;Výkony pre poranenia artérií a vén
