kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy;kod_ms;nazov_ms
S0149;Otvorená rana líca a temporomandibulárnej oblasti: iné a viaceré časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S017;Viaceré otvorené rany hlavy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S0180;Otvorená rana iných častí hlavy, bližšie neurčená;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S019;Otvorená rana hlavy, bližšie neurčenej časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S070;Drvivé poranenie tváre;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S080;Avulzia (odtrhnutie) vlasatej časti hlavy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S090;Poranenie cievy hlavy, nezatriedené inde;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S098;Iné poranenie hlavy, bližšie určené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S100;Pomliaždenie hrdla;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1010;Iné a bližšie neurčené povrchové poranenia hrdla: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1011;Iné a bližšie neurčené povrchové poranenia hrdla: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1014;Iné a bližšie neurčené povrchové poranenia hrdla: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1018;Iné a bližšie neurčené povrchové poranenia hrdla: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S107;Viaceré povrchové poranenia krku;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1080;Povrchové poranenie inej časti krku: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1081;Povrchové poranenie inej časti krku: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1084;Povrchové poranenie inej časti krku: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1085;Povrchové poranenie inej časti krku: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1088;Povrchové poranenie inej časti krku: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1090;Povrchové poranenie krku, bližšie neurčená časť: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1091;Povrchové poranenie krku, bližšie neurčená časť: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1094;Povrchové poranenie krku, bližšie neurčená časť: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1095;Povrchové poranenie krku, bližšie neurčená časť: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1098;Povrchové poranenie krku, bližšie neurčená časť: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S117;Viaceré otvorené rany krku;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S1180;Bližšie neurčená otvorená rana iných častí krku;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S119;Otvorená rana krku, bližšie neurčenej časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S200;Pomliaždenie prsníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2010;Iné a bližšie neurčené povrchové poranenia prsníka: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2011;Iné a bližšie neurčené povrchové poranenia prsníka: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2014;Iné a bližšie neurčené povrchové poranenia prsníka: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2018;Iné a bližšie neurčené povrchové poranenia prsníka: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S202;Pomliaždenie hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2030;Iné povrchové poranenie prednej steny hrudníka: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2031;Iné povrchové poranenie prednej steny hrudníka: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2034;Iné povrchové poranenie prednej steny hrudníka: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2038;Iné povrchové poranenie prednej steny hrudníka: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2040;Iné povrchové poranenie zadnej steny hrudníka: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2041;Iné povrchové poranenie zadnej steny hrudníka: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2044;Iné povrchové poranenie zadnej steny hrudníka: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2048;Iné povrchové poranenie zadnej steny hrudníka: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S207;Viaceré povrchové poranenia hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2080;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2081;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2084;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2085;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2088;Povrchové poranenie inej a bližšie neurčenej časti hrudníka: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S210;Otvorená rana prsníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S211;Otvorená rana prednej steny hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S212;Otvorená rana zadnej steny hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S217;Viaceré otvorené rany steny hrudníka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S2180;Otvorená rana inej časti hrudníka, bližšie neurčenej;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S219;Otvorená rana hrudníka, bližšie neurčenej časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S298;Iné poranenie hrudníka, bližšie určené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S299;Poranenie hrudníka, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S300;Pomliaždenie driekovokrížovej oblasti a panvy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S301;Pomliaždenie brušnej steny;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S307;Viaceré povrchové poranenia brucha, drieku a panvy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3080;Iné povrchové poranenie brucha, drieku a panvy: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3081;Iné povrchové poranenie brucha, drieku a panvy: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3084;Iné povrchové poranenie brucha, drieku a panvy: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3085;Iné povrchové poranenie brucha, drieku a panvy: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3088;Iné povrchové poranenie brucha, drieku a panvy: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3090;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: druh poranenia bližšie neurčený;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3091;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3094;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3095;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: pomliaždenie;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3098;Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S310;Otvorená rana drieku a panvy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S311;Otvorená rana brušnej steny;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S317;Viaceré otvorené rany brucha, drieku a panvy;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3180;Otvorená rana inej a bližšie neurčenej časti brucha;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S3980;Zlomenina penisu;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S400;Pomliaždenie pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S407;Viaceré povrchové poranenia pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S4081;Iné povrchové poranenia pleca a ramena: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S4084;Iné povrchové poranenia pleca a ramena: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S4088;Iné povrchové poranenia pleca a ramena: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S409;Povrchové poranenie pleca a ramena, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S410;Otvorená rana pleca;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S411;Otvorená rana ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S417;Viaceré otvorené rany pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S4180;Bližšie neurčená otvorená rana inej a bližšie neurčenej časti plecového pletenca;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S47;Drvivé poranenie pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S497;Viaceré poranenia pleca a ramena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S498;Iné poranenie pleca a ramena, bližšie určené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S499;Poranenie pleca a ramena, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S500;Pomliaždenie lakťa;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S501;Pomliaždenie iných a bližšie neurčených častí predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S507;Viaceré povrchové poranenia predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S5081;Iné povrchové poranenie predlaktia: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S5084;Iné povrchové poranenie predlaktia: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S5088;Iné povrchové poranenie predlaktia: Ostatné povrchové poranenia lakťa;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S509;Povrchové poranenie predlaktia, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S510;Otvorená rana lakťa;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S517;Viaceré otvorené rany predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S5180;Bližšie neurčená otvorená rana iných častí predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S519;Otvorená rana predlaktia bližšie neurčenej časti;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S550;Poranenie a.ulnaris v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S551;Poranenie a.radialis v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S552;Poranenie žily v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S557;Poranenie viacerých krvných ciev v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S558;Poranenie iných krvných ciev v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S559;Poranenie bližšie neurčenej krvnej cievy v úrovni predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S597;Viaceré poranenia lakťa a predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S598;Iné a bližšie určené poranenie predlaktia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S599;Poranenie predlaktia, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S600;Pomliaždenie prsta (prstov) ruky bez poškodenia nechta;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S601;Pomliaždenie prsta (prstov) ruky s poškodením nechta;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S602;Pomliaždenie iných častí zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S607;Viaceré povrchové poranenia zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S6081;Iné povrchové poranenia zápästia a ruky: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S6084;Iné povrchové poranenia zápästia a ruky: povrchové cudzie telesá (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S6088;Iné povrchové poranenia zápästia a ruky: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S609;Povrchové poranenie zápästia a ruky, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S610;Otvorená rana prsta (prstov) ruky bez poškodenia nechta;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S611;Otvorená rana prsta (prstov) ruky s poškodením nechta;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S617;Viaceré otvorené rany zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S6180;Bližšie neurčená otvorená rana iných častí zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S619;Otvorená rana časti zápästia a ruky, bližšie neurčená;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S650;Poranenie a.ulnaris v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S651;Poranenie a.radialis v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S652;Poranenie ciev povrchového dlaňového oblúka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S653;Poranenie ciev hĺbkového dlaňového oblúka;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S654;Poranenie krvnej cievy (ciev) palca;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S655;Poranenie krvnej cievy (ciev) iného prsta ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S657;Poranenie viacerých krvných ciev v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S658;Poranenie inej krvnej cievy v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S659;Poranenie bližšie neurčenej krvnej cievy v úrovni zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S697;Viaceré poranenia zápästia a ruky;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S698;Iné poranenia zápästia a ruky, bližšie určené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S699;Poranenie zápästia a ruky, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S700;Pomliaždenie bedra;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S701;Pomliaždenie stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S707;Viaceré povrchové poranenia bedra a stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S7081;Iné povrchové poranenia bedra a stehna: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S7084;Iné povrchové poranenia bedra a stehna: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S7088;Iné povrchové poranenia bedra a stehna: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S709;Povrchové poranenie bedra a stehna, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S710;Otvorená rana bedra;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S711;Otvorená rana stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S717;Viaceré otvorené rany bedra a stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S7180;Otvorená rana inej a bližšie neurčenej časti panvového pletenca;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S797;Viaceré poranenia bedra a stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S798;Iné a bližšie určené poranenie bedra a stehna;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S799;Poranenie bedra a stehna, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S800;Pomliaždenie kolena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S801;Pomliaždenie iných a bližšie neurčených častí predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S807;Viaceré povrchové poranenia predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S8081;Iné povrchové poranenie predkolenia: odrenina;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S8084;Iné povrchové poranenie predkolenia: povrchové cudzie teleso (úlomky);S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S8088;Iné povrchové poranenie predkolenia: iné;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S809;Povrchové poranenie predkolenia, bližšie neurčené;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S810;Otvorená rana kolena;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S817;Viaceré otvorené rany predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S8180;Otvorená rana iných častí predkolenia, bližšie neurčená;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S819;Otvorená rana bližšie neurčenej časti predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S850;Poranenie zákolennej tepny [a.poplitea];S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S851;Poranenie (prednej) (zadnej) píšťalovej tepny [a.tibialis];S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S852;Poranenie ihlicovej tepny [a.peronea];S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S853;Poranenie veľkej skrytej žily [v. saphena magna] v úrovni predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
S854;Poranenie malej skrytej žily [v. saphena parva] v úrovni predkolenia;S02-54;Povrchové poranenia, otvorené rany a poškodenia mäkkých častí
