kriterium;poradieKriterium;typKriterium;kod;nazov;pocetKriterium
So signifikantným OP výkonom;1;vyk;13a114;;1
So signifikantným OP výkonom;1;vyk;13a115;;1
So signifikantným OP výkonom;1;vyk;13a116;;1
So signifikantným OP výkonom;1;vyk;13a11x;;1
So signifikantným OP výkonom;1;vyk;13a200;;1
So signifikantným OP výkonom;1;vyk;13a201;;1
So signifikantným OP výkonom;1;vyk;13a202;;1
So signifikantným OP výkonom;1;vyk;13a203;;1
So signifikantným OP výkonom;1;vyk;13a20x;;1
So signifikantným OP výkonom;1;vyk;13a300;;1
So signifikantným OP výkonom;1;vyk;13a301;;1
So signifikantným OP výkonom;1;vyk;13a302;;1
So signifikantným OP výkonom;1;vyk;13a303;;1
So signifikantným OP výkonom;1;vyk;13a304;;1
So signifikantným OP výkonom;1;vyk;13a305;;1
So signifikantným OP výkonom;1;vyk;13a306;;1
So signifikantným OP výkonom;1;vyk;13a307;;1
So signifikantným OP výkonom;1;vyk;13a308;;1
So signifikantným OP výkonom;1;vyk;13a309;;1
So signifikantným OP výkonom;1;vyk;13a30x;;1
So signifikantným OP výkonom;1;vyk;13b00;;1
So signifikantným OP výkonom;1;vyk;13b01;;1
So signifikantným OP výkonom;1;vyk;13b02;;1
So signifikantným OP výkonom;1;vyk;13b100;;1
So signifikantným OP výkonom;1;vyk;13b101;;1
So signifikantným OP výkonom;1;vyk;13b200;;1
So signifikantným OP výkonom;1;vyk;13b201;;1
So signifikantným OP výkonom;1;vyk;13c00;;1
So signifikantným OP výkonom;1;vyk;13c01;;1
So signifikantným OP výkonom;1;vyk;13c10;;1
So signifikantným OP výkonom;1;vyk;13c11;;1
So signifikantným OP výkonom;1;vyk;13c12;;1
So signifikantným OP výkonom;1;vyk;13c13;;1
So signifikantným OP výkonom;1;vyk;13c14;;1
So signifikantným OP výkonom;1;vyk;13c15;;1
So signifikantným OP výkonom;1;vyk;13c16;;1
So signifikantným OP výkonom;1;vyk;13c17;;1
So signifikantným OP výkonom;1;vyk;13c18;;1
So signifikantným OP výkonom;1;vyk;13c1x;;1
So signifikantným OP výkonom;1;vyk;13d21;;1
So signifikantným OP výkonom;1;vyk;13d22;;1
So signifikantným OP výkonom;1;vyk;13d2x;;1
So signifikantným OP výkonom;1;vyk;13d40;;1
So signifikantným OP výkonom;1;vyk;13d41;;1
So signifikantným OP výkonom;1;vyk;13d42;;1
So signifikantným OP výkonom;1;vyk;13h100;;1
So signifikantným OP výkonom;1;vyk;13h101;;1
So signifikantným OP výkonom;1;vyk;13h102;;1
So signifikantným OP výkonom;1;vyk;13h10x;;1
So signifikantným OP výkonom;1;vyk;13h200;;1
So signifikantným OP výkonom;1;vyk;13h21;;1
So signifikantným OP výkonom;1;vyk;13h22;;1
So signifikantným OP výkonom;1;vyk;13j00;;1
So signifikantným OP výkonom;1;vyk;13j01;;1
So signifikantným OP výkonom;1;vyk;13j02;;1
So signifikantným OP výkonom;1;vyk;13j03;;1
So signifikantným OP výkonom;1;vyk;13k00;;1
So signifikantným OP výkonom;1;vyk;13k01;;1
So signifikantným OP výkonom;1;vyk;13k020;;1
So signifikantným OP výkonom;1;vyk;13k021;;1
So signifikantným OP výkonom;1;vyk;13k022;;1
So signifikantným OP výkonom;1;vyk;13k023;;1
So signifikantným OP výkonom;1;vyk;13k024;;1
So signifikantným OP výkonom;1;vyk;13k025;;1
So signifikantným OP výkonom;1;vyk;13k026;;1
So signifikantným OP výkonom;1;vyk;13k027;;1
So signifikantným OP výkonom;1;vyk;13k028;;1
So signifikantným OP výkonom;1;vyk;13k029;;1
So signifikantným OP výkonom;1;vyk;13k02x;;1
So signifikantným OP výkonom;1;vyk;13m00;;1
So signifikantným OP výkonom;1;vyk;13m01;;1
So signifikantným OP výkonom;1;vyk;13m100;;1
So signifikantným OP výkonom;1;vyk;13m101;;1
So signifikantným OP výkonom;1;vyk;13m102;;1
So signifikantným OP výkonom;1;vyk;13m103;;1
So signifikantným OP výkonom;1;vyk;13m104;;1
So signifikantným OP výkonom;1;vyk;13m105;;1
So signifikantným OP výkonom;1;vyk;13m106;;1
So signifikantným OP výkonom;1;vyk;13m107;;1
So signifikantným OP výkonom;1;vyk;13m10x;;1
So signifikantným OP výkonom;1;vyk;13n000;;1
So signifikantným OP výkonom;1;vyk;13n001;;1
So signifikantným OP výkonom;1;vyk;13n010;;1
So signifikantným OP výkonom;1;vyk;13n011;;1
So signifikantným OP výkonom;1;vyk;13n013;;1
So signifikantným OP výkonom;1;vyk;13n05;;1
So signifikantným OP výkonom;1;vyk;13n060;;1
So signifikantným OP výkonom;1;vyk;13n061;;1
So signifikantným OP výkonom;1;vyk;13n062;;1
So signifikantným OP výkonom;1;vyk;13n070;;1
So signifikantným OP výkonom;1;vyk;13n071;;1
So signifikantným OP výkonom;1;vyk;13n072;;1
So signifikantným OP výkonom;1;vyk;13n073;;1
So signifikantným OP výkonom;1;vyk;13n080;;1
So signifikantným OP výkonom;1;vyk;13n081;;1
So signifikantným OP výkonom;1;vyk;13n090;;1
So signifikantným OP výkonom;1;vyk;13n091;;1
So signifikantným OP výkonom;1;vyk;13n092;;1
So signifikantným OP výkonom;1;vyk;13n093;;1
So signifikantným OP výkonom;1;vyk;13n094;;1
So signifikantným OP výkonom;1;vyk;13n095;;1
So signifikantným OP výkonom;1;vyk;13n09x;;1
So signifikantným OP výkonom;1;vyk;13n0x;;1
So signifikantným OP výkonom;1;vyk;13o000;;1
So signifikantným OP výkonom;1;vyk;13o001;;1
So signifikantným OP výkonom;1;vyk;13o004;;1
So signifikantným OP výkonom;1;vyk;13o005;;1
So signifikantným OP výkonom;1;vyk;13o006;;1
So signifikantným OP výkonom;1;vyk;13o007;;1
So signifikantným OP výkonom;1;vyk;13o00x;;1
So signifikantným OP výkonom;1;vyk;13p000;;1
So signifikantným OP výkonom;1;vyk;13p001;;1
So signifikantným OP výkonom;1;vyk;13p010;;1
So signifikantným OP výkonom;1;vyk;13p011;;1
So signifikantným OP výkonom;1;vyk;13p020;;1
So signifikantným OP výkonom;1;vyk;13p023;;1
So signifikantným OP výkonom;1;vyk;13q000;;1
So signifikantným OP výkonom;1;vyk;13q001;;1
So signifikantným OP výkonom;1;vyk;13q010;;1
So signifikantným OP výkonom;1;vyk;13q011;;1
So signifikantným OP výkonom;1;vyk;13q012;;1
So signifikantným OP výkonom;1;vyk;13q02;;1
So signifikantným OP výkonom;1;vyk;13q03;;1
So signifikantným OP výkonom;1;vyk;13q04;;1
So signifikantným OP výkonom;1;vyk;13q05;;1
So signifikantným OP výkonom;1;vyk;13q0x;;1
So signifikantným OP výkonom;1;vyk;13t100;;1
So signifikantným OP výkonom;1;vyk;13t101;;1
So signifikantným OP výkonom;1;vyk;13t102;;1
So signifikantným OP výkonom;1;vyk;13t103;;1
So signifikantným OP výkonom;1;vyk;13t104;;1
So signifikantným OP výkonom;1;vyk;13t105;;1
So signifikantným OP výkonom;1;vyk;13t106;;1
So signifikantným OP výkonom;1;vyk;13t107;;1
So signifikantným OP výkonom;1;vyk;13t10x;;1
So signifikantným OP výkonom;1;vyk;13t200;;1
So signifikantným OP výkonom;1;vyk;13t201;;1
So signifikantným OP výkonom;1;vyk;13t202;;1
So signifikantným OP výkonom;1;vyk;13t203;;1
So signifikantným OP výkonom;1;vyk;13t204;;1
So signifikantným OP výkonom;1;vyk;13t205;;1
So signifikantným OP výkonom;1;vyk;13t206;;1
So signifikantným OP výkonom;1;vyk;13t207;;1
So signifikantným OP výkonom;1;vyk;13t208;;1
So signifikantným OP výkonom;1;vyk;13t300;;1
So signifikantným OP výkonom;1;vyk;13t301;;1
So signifikantným OP výkonom;1;vyk;13t302;;1
So signifikantným OP výkonom;1;vyk;13t303;;1
So signifikantným OP výkonom;1;vyk;13t304;;1
So signifikantným OP výkonom;1;vyk;13t305;;1
So signifikantným OP výkonom;1;vyk;13t306;;1
So signifikantným OP výkonom;1;vyk;13t307;;1
So signifikantným OP výkonom;1;vyk;13t308;;1
So signifikantným OP výkonom;1;vyk;13t309;;1
So signifikantným OP výkonom;1;vyk;13t30a;;1
So signifikantným OP výkonom;1;vyk;13t30b;;1
So signifikantným OP výkonom;1;vyk;13t30c;;1
So signifikantným OP výkonom;1;vyk;13t30x;;1
So signifikantným OP výkonom;1;vyk;13x01;;1
So signifikantným OP výkonom;1;vyk;14a300;;1
So signifikantným OP výkonom;1;vyk;14a301;;1
So signifikantným OP výkonom;1;vyk;14a30x;;1
So signifikantným OP výkonom;1;vyk;14c00;;1
So signifikantným OP výkonom;1;vyk;14j300;;1
So signifikantným OP výkonom;1;vyk;14j301;;1
So signifikantným OP výkonom;1;vyk;14j302;;1
So signifikantným OP výkonom;1;vyk;14j303;;1
So signifikantným OP výkonom;1;vyk;14n310;;1
So signifikantným OP výkonom;1;vyk;14n311;;1
So signifikantným OP výkonom;1;vyk;14n312;;1
So signifikantným OP výkonom;1;vyk;14n3232;;1
So signifikantným OP výkonom;1;vyk;14n32x;;1
So signifikantným OP výkonom;1;vyk;14q05;;1
So signifikantným OP výkonom;1;vyk;14q06;;1
So signifikantným OP výkonom;1;vyk;14q0a;;1
So signifikantným OP výkonom;1;vyk;14t300;;1
So signifikantným OP výkonom;1;vyk;14t301;;1
So signifikantným OP výkonom;1;vyk;14t302;;1
So signifikantným OP výkonom;1;vyk;14t303;;1
So signifikantným OP výkonom;1;vyk;14t304;;1
So signifikantným OP výkonom;1;vyk;14t305;;1
So signifikantným OP výkonom;1;vyk;14t306;;1
So signifikantným OP výkonom;1;vyk;14t307;;1
So signifikantným OP výkonom;1;vyk;14t308;;1
So signifikantným OP výkonom;1;vyk;14t309;;1
So signifikantným OP výkonom;1;vyk;14t30a;;1
So signifikantným OP výkonom;1;vyk;14t30c;;1
So signifikantným OP výkonom;1;vyk;14t30x;;1
So signifikantným OP výkonom;1;vyk;14v11;;1
So signifikantným OP výkonom;1;vyk;15c00;;1
So signifikantným OP výkonom;1;vyk;15c03;;1
So signifikantným OP výkonom;1;vyk;15x03;;1
So signifikantným OP výkonom;1;vyk;15x06;;1
So signifikantným OP výkonom;1;vyk;3131419;;1
So signifikantným OP výkonom;1;vyk;3131429;;1
So signifikantným OP výkonom;1;vyk;3131439;;1
So signifikantným OP výkonom;1;vyk;5a110;;1
So signifikantným OP výkonom;1;vyk;5a111;;1
So signifikantným OP výkonom;1;vyk;5a1122;;1
So signifikantným OP výkonom;1;vyk;5a112d;;1
So signifikantným OP výkonom;1;vyk;5a112e;;1
So signifikantným OP výkonom;1;vyk;5a112f;;1
So signifikantným OP výkonom;1;vyk;5a112g;;1
So signifikantným OP výkonom;1;vyk;5a112h;;1
So signifikantným OP výkonom;1;vyk;5a113j;;1
So signifikantným OP výkonom;1;vyk;5a113k;;1
So signifikantným OP výkonom;1;vyk;5a113m;;1
So signifikantným OP výkonom;1;vyk;5a113n;;1
So signifikantným OP výkonom;1;vyk;5a114j;;1
So signifikantným OP výkonom;1;vyk;5a114k;;1
So signifikantným OP výkonom;1;vyk;5a114m;;1
So signifikantným OP výkonom;1;vyk;5a114n;;1
So signifikantným OP výkonom;1;vyk;5a115j;;1
So signifikantným OP výkonom;1;vyk;5a115k;;1
So signifikantným OP výkonom;1;vyk;5a115m;;1
So signifikantným OP výkonom;1;vyk;5a115n;;1
So signifikantným OP výkonom;1;vyk;5a116j;;1
So signifikantným OP výkonom;1;vyk;5a116k;;1
So signifikantným OP výkonom;1;vyk;5a116m;;1
So signifikantným OP výkonom;1;vyk;5a116n;;1
So signifikantným OP výkonom;1;vyk;5a117j;;1
So signifikantným OP výkonom;1;vyk;5a117k;;1
So signifikantným OP výkonom;1;vyk;5a117m;;1
So signifikantným OP výkonom;1;vyk;5a117n;;1
So signifikantným OP výkonom;1;vyk;5a118j;;1
So signifikantným OP výkonom;1;vyk;5a118k;;1
So signifikantným OP výkonom;1;vyk;5a118m;;1
So signifikantným OP výkonom;1;vyk;5a118n;;1
So signifikantným OP výkonom;1;vyk;5a119;;1
So signifikantným OP výkonom;1;vyk;5a11a0;;1
So signifikantným OP výkonom;1;vyk;5a11a1;;1
So signifikantným OP výkonom;1;vyk;5a11b0;;1
So signifikantným OP výkonom;1;vyk;5a11b1;;1
So signifikantným OP výkonom;1;vyk;5a11c3;;1
So signifikantným OP výkonom;1;vyk;5a11c4;;1
So signifikantným OP výkonom;1;vyk;5a11c5;;1
So signifikantným OP výkonom;1;vyk;5a11c6;;1
So signifikantným OP výkonom;1;vyk;5a11c7;;1
So signifikantným OP výkonom;1;vyk;5a11c8;;1
So signifikantným OP výkonom;1;vyk;5a11c9;;1
So signifikantným OP výkonom;1;vyk;5a11ca;;1
So signifikantným OP výkonom;1;vyk;5a11cb;;1
So signifikantným OP výkonom;1;vyk;5a11cc;;1
So signifikantným OP výkonom;1;vyk;5a11d3;;1
So signifikantným OP výkonom;1;vyk;5a11d4;;1
So signifikantným OP výkonom;1;vyk;5a11d5;;1
So signifikantným OP výkonom;1;vyk;5a11d6;;1
So signifikantným OP výkonom;1;vyk;5a11d7;;1
So signifikantným OP výkonom;1;vyk;5a11d8;;1
So signifikantným OP výkonom;1;vyk;5a11d9;;1
So signifikantným OP výkonom;1;vyk;5a11da;;1
So signifikantným OP výkonom;1;vyk;5a11db;;1
So signifikantným OP výkonom;1;vyk;5a11dc;;1
So signifikantným OP výkonom;1;vyk;5a11e3;;1
So signifikantným OP výkonom;1;vyk;5a11e4;;1
So signifikantným OP výkonom;1;vyk;5a11e5;;1
So signifikantným OP výkonom;1;vyk;5a11e6;;1
So signifikantným OP výkonom;1;vyk;5a11e7;;1
So signifikantným OP výkonom;1;vyk;5a11e8;;1
So signifikantným OP výkonom;1;vyk;5a11e9;;1
So signifikantným OP výkonom;1;vyk;5a11ea;;1
So signifikantným OP výkonom;1;vyk;5a11eb;;1
So signifikantným OP výkonom;1;vyk;5a11ec;;1
So signifikantným OP výkonom;1;vyk;5a11f3;;1
So signifikantným OP výkonom;1;vyk;5a11f4;;1
So signifikantným OP výkonom;1;vyk;5a11f5;;1
So signifikantným OP výkonom;1;vyk;5a11f6;;1
So signifikantným OP výkonom;1;vyk;5a11f7;;1
So signifikantným OP výkonom;1;vyk;5a11f8;;1
So signifikantným OP výkonom;1;vyk;5a11f9;;1
So signifikantným OP výkonom;1;vyk;5a11fa;;1
So signifikantným OP výkonom;1;vyk;5a11fb;;1
So signifikantným OP výkonom;1;vyk;5a11fc;;1
So signifikantným OP výkonom;1;vyk;5a1200;;1
So signifikantným OP výkonom;1;vyk;5a1201;;1
So signifikantným OP výkonom;1;vyk;5a1210;;1
So signifikantným OP výkonom;1;vyk;5a1211;;1
So signifikantným OP výkonom;1;vyk;5a1220;;1
So signifikantným OP výkonom;1;vyk;5a1221;;1
So signifikantným OP výkonom;1;vyk;5a1230;;1
So signifikantným OP výkonom;1;vyk;5a1231;;1
So signifikantným OP výkonom;1;vyk;5a1240;;1
So signifikantným OP výkonom;1;vyk;5a1241;;1
So signifikantným OP výkonom;1;vyk;5a1250;;1
So signifikantným OP výkonom;1;vyk;5a1251;;1
So signifikantným OP výkonom;1;vyk;5a1262;;1
So signifikantným OP výkonom;1;vyk;5a1263;;1
So signifikantným OP výkonom;1;vyk;5a1272;;1
So signifikantným OP výkonom;1;vyk;5a1273;;1
So signifikantným OP výkonom;1;vyk;5a1284;;1
So signifikantným OP výkonom;1;vyk;5a1285;;1
So signifikantným OP výkonom;1;vyk;5a1286;;1
So signifikantným OP výkonom;1;vyk;5a1287;;1
So signifikantným OP výkonom;1;vyk;5a1290;;1
So signifikantným OP výkonom;1;vyk;5a1291;;1
So signifikantným OP výkonom;1;vyk;5a12a0;;1
So signifikantným OP výkonom;1;vyk;5a12a1;;1
So signifikantným OP výkonom;1;vyk;5a12b0;;1
So signifikantným OP výkonom;1;vyk;5a12b1;;1
So signifikantným OP výkonom;1;vyk;5a12c8;;1
So signifikantným OP výkonom;1;vyk;5a12c9;;1
So signifikantným OP výkonom;1;vyk;5a12d4;;1
So signifikantným OP výkonom;1;vyk;5a12d5;;1
So signifikantným OP výkonom;1;vyk;5a12d6;;1
So signifikantným OP výkonom;1;vyk;5a12d7;;1
So signifikantným OP výkonom;1;vyk;5a130;;1
So signifikantným OP výkonom;1;vyk;5a131;;1
So signifikantným OP výkonom;1;vyk;5a1327;;1
So signifikantným OP výkonom;1;vyk;5a1328;;1
So signifikantným OP výkonom;1;vyk;5a1329;;1
So signifikantným OP výkonom;1;vyk;5a1900;;1
So signifikantným OP výkonom;1;vyk;5a1901;;1
So signifikantným OP výkonom;1;vyk;5a1902;;1
So signifikantným OP výkonom;1;vyk;5a1903;;1
So signifikantným OP výkonom;1;vyk;5a1904;;1
So signifikantným OP výkonom;1;vyk;5a191;;1
So signifikantným OP výkonom;1;vyk;5a192;;1
So signifikantným OP výkonom;1;vyk;5a193;;1
So signifikantným OP výkonom;1;vyk;5a194e;;1
So signifikantným OP výkonom;1;vyk;5a194f;;1
So signifikantným OP výkonom;1;vyk;5a195;;1
So signifikantným OP výkonom;1;vyk;5a196;;1
So signifikantným OP výkonom;1;vyk;5a1971;;1
So signifikantným OP výkonom;1;vyk;5a1972;;1
So signifikantným OP výkonom;1;vyk;5a1981;;1
So signifikantným OP výkonom;1;vyk;5a1989;;1
So signifikantným OP výkonom;1;vyk;5a1991;;1
So signifikantným OP výkonom;1;vyk;5a1999;;1
So signifikantným OP výkonom;1;vyk;5a19a7;;1
So signifikantným OP výkonom;1;vyk;5a19ab;;1
So signifikantným OP výkonom;1;vyk;5a19ac;;1
So signifikantným OP výkonom;1;vyk;5a19b7;;1
So signifikantným OP výkonom;1;vyk;5a19bb;;1
So signifikantným OP výkonom;1;vyk;5a19bc;;1
So signifikantným OP výkonom;1;vyk;5a19c81;;1
So signifikantným OP výkonom;1;vyk;5a19c82;;1
So signifikantným OP výkonom;1;vyk;5a19e;;1
So signifikantným OP výkonom;1;vyk;5a19f8;;1
So signifikantným OP výkonom;1;vyk;5a19g;;1
So signifikantným OP výkonom;1;vyk;5a19h;;1
So signifikantným OP výkonom;1;vyk;5a19k0;;1
So signifikantným OP výkonom;1;vyk;5a19k1;;1
So signifikantným OP výkonom;1;vyk;5a19k2;;1
So signifikantným OP výkonom;1;vyk;5a19k3;;1
So signifikantným OP výkonom;1;vyk;5a19m4;;1
So signifikantným OP výkonom;1;vyk;5a19m5;;1
So signifikantným OP výkonom;1;vyk;5a19m6;;1
So signifikantným OP výkonom;1;vyk;5a19n7;;1
So signifikantným OP výkonom;1;vyk;5a19n8;;1
So signifikantným OP výkonom;1;vyk;5a19o1;;1
So signifikantným OP výkonom;1;vyk;5a19o3;;1
So signifikantným OP výkonom;1;vyk;5a19p1;;1
So signifikantným OP výkonom;1;vyk;5a19p3;;1
So signifikantným OP výkonom;1;vyk;5a19r1;;1
So signifikantným OP výkonom;1;vyk;5a19r3;;1
So signifikantným OP výkonom;1;vyk;5a19s;;1
So signifikantným OP výkonom;1;vyk;5a19t;;1
So signifikantným OP výkonom;1;vyk;5a200;;1
So signifikantným OP výkonom;1;vyk;5a202;;1
So signifikantným OP výkonom;1;vyk;5a203;;1
So signifikantným OP výkonom;1;vyk;5a2040;;1
So signifikantným OP výkonom;1;vyk;5a2041;;1
So signifikantným OP výkonom;1;vyk;5a2042;;1
So signifikantným OP výkonom;1;vyk;5a2043;;1
So signifikantným OP výkonom;1;vyk;5a2044;;1
So signifikantným OP výkonom;1;vyk;5a2045;;1
So signifikantným OP výkonom;1;vyk;5a2046;;1
So signifikantným OP výkonom;1;vyk;5a2047;;1
So signifikantným OP výkonom;1;vyk;5a2050;;1
So signifikantným OP výkonom;1;vyk;5a2051;;1
So signifikantným OP výkonom;1;vyk;5a206;;1
So signifikantným OP výkonom;1;vyk;5a208;;1
So signifikantným OP výkonom;1;vyk;5a2090;;1
So signifikantným OP výkonom;1;vyk;5a2091;;1
So signifikantným OP výkonom;1;vyk;5a20a;;1
So signifikantným OP výkonom;1;vyk;5a20b0;;1
So signifikantným OP výkonom;1;vyk;5a20b1;;1
So signifikantným OP výkonom;1;vyk;5a20b2;;1
So signifikantným OP výkonom;1;vyk;5a20b3;;1
So signifikantným OP výkonom;1;vyk;5a20c;;1
So signifikantným OP výkonom;1;vyk;5a20d;;1
So signifikantným OP výkonom;1;vyk;5a20e0;;1
So signifikantným OP výkonom;1;vyk;5a20e1;;1
So signifikantným OP výkonom;1;vyk;5a20e2;;1
So signifikantným OP výkonom;1;vyk;5a20e3;;1
So signifikantným OP výkonom;1;vyk;5a20e4;;1
So signifikantným OP výkonom;1;vyk;5a20e5;;1
So signifikantným OP výkonom;1;vyk;5a20e6;;1
So signifikantným OP výkonom;1;vyk;5a20e7;;1
So signifikantným OP výkonom;1;vyk;5a20e8;;1
So signifikantným OP výkonom;1;vyk;5a20e9;;1
So signifikantným OP výkonom;1;vyk;5a20ea;;1
So signifikantným OP výkonom;1;vyk;5a20eb;;1
So signifikantným OP výkonom;1;vyk;5a20f0;;1
So signifikantným OP výkonom;1;vyk;5a20f1;;1
So signifikantným OP výkonom;1;vyk;5a20f2;;1
So signifikantným OP výkonom;1;vyk;5a20f3;;1
So signifikantným OP výkonom;1;vyk;5a20g4;;1
So signifikantným OP výkonom;1;vyk;5a20g5;;1
So signifikantným OP výkonom;1;vyk;5a20g6;;1
So signifikantným OP výkonom;1;vyk;5a20g7;;1
So signifikantným OP výkonom;1;vyk;5a20h0;;1
So signifikantným OP výkonom;1;vyk;5a20h1;;1
So signifikantným OP výkonom;1;vyk;5a20h2;;1
So signifikantným OP výkonom;1;vyk;5a20h3;;1
So signifikantným OP výkonom;1;vyk;5a20j0;;1
So signifikantným OP výkonom;1;vyk;5a20j1;;1
So signifikantným OP výkonom;1;vyk;5a20j2;;1
So signifikantným OP výkonom;1;vyk;5a20k0;;1
