kodHVyk;nazovHVyk;SkDg;kodMS;nazovMS
5t001f;Explorácia kostného tkaniva proximálneho femuru ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001g;Explorácia kostného tkaniva diafyzárneho femuru ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001h;Explorácia kostného tkaniva distálneho femuru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001j;Explorácia kostného tkaniva pately;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001k;Explorácia kostného tkaniva proximálnej tibie ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001m;Explorácia kostného tkaniva diafyzárnej tibie ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001n;Explorácia kostného tkaniva distálnej tibie ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001p;Explorácia kostného tkaniva proximálnej fibuly ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001q;Explorácia kostného tkaniva diafyzárnej fibuly ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001r;Explorácia kostného tkaniva distálnej fibuly ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001s;Explorácia kostného tkaniva talu;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001t;Explorácia kostného tkaniva kalkanea;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001u;Explorácia kostného tkaniva tarzálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001v;Explorácia kostného tkaniva metatarzálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001w;Explorácia kostného tkaniva falangov prstov nohy;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001x;Explorácia kostného tkaniva ostatných kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t001z;Explorácia kostného tkaniva skapuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t0041;Septické a aseptické incízie proximálneho humeru v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0042;Septické a aseptické incízie diafyzárneho  humeru v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0043;Septické a aseptické incízie distálneho humeru v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0044;Septické a aseptické incízie proximálneho radia v kombinácii s ďaľšou incíziou vložením nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0045;Septické a aseptické incízie diafyzárneho radia v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0046;Septické a aseptické incízie distálneho radia v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0047;Septické a aseptické incízie proximálnej ulny v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0048;Septické a aseptické incízie diafyzárnej ulny v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0049;Septické a aseptické incízie distálnej ulny v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004a;Septické a aseptické incízie karpálnych kostí v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004b;Septické a aseptické incízie metakarpálnych kostí v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004c;Septické a aseptické incízie falangov prstov ruky v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004d;Septické a aseptické incízie panvy v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t004e;Septické a aseptické incízie krčka stehennej kosti v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004f;Septické a aseptické incízie proximálneho femuru v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004g;Septické a aseptické incízie diafyzárneho femuru v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004h;Septické a aseptické incízie distálneho femuru v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004j;Septické a aseptické incízie pately v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004k;Septické a aseptické incízie proximálnej tibie v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004m;Septické a aseptické incízie diafyzárnej tibie v kombinácii s ďaľšou incíziou vložením nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004n;Septické a aseptické incízie distálnej tibie v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004p;Septické a aseptické incízie proximálnej fibuly v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004q;Septické a aseptické incízie diafyzárnej fibuly v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004r;Septické a aseptické incízie distálnej fibuly v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004s;Septické a aseptické incízie talu v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004t;Septické a aseptické incízie kalkanea v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004u;Septické a aseptické incízie tarzálnych kostí v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004v;Septické a aseptické incízie metatarzálnych kostí v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004w;Septické a aseptické incízie falangov prstov nohy v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004x;Septické a aseptické incízie ostatných kostí v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t004z;Septické a aseptické incízie skapuly v kombinácii s ďaľšou incíziou vložením nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0061;debridement (odstránenie nekrotickej kosti) proximálneho humeru;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t0062;debridement (odstránenie nekrotickej kosti) diafyzárneho  humeru;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t0063;debridement (odstránenie nekrotickej kosti) distálneho humeru ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t0064;debridement (odstránenie nekrotickej kosti) proximálneho radia ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t0065;debridement (odstránenie nekrotickej kosti) diafyzárneho radia ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t0066;debridement (odstránenie nekrotickej kosti) distálneho radia;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t0067;debridement (odstránenie nekrotickej kosti) proximálnej ulny ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t0068;debridement (odstránenie nekrotickej kosti) diafyzárnej ulny ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t0069;debridement (odstránenie nekrotickej kosti) distálnej ulny ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006a;debridement (odstránenie nekrotickej kosti) karpálnych kostí;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006b;debridement (odstránenie nekrotickej kosti) metakarpálnych kostí;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006c;debridement (odstránenie nekrotickej kosti) falangov prstov ruky;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006d;debridement (odstránenie nekrotickej kosti) panvy;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t006e;debridement (odstránenie nekrotickej kosti) krčka stehennej kosti;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006f;debridement (odstránenie nekrotickej kosti) proximálneho femuru ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006g;debridement (odstránenie nekrotickej kosti) diafyzárneho femuru;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006h;debridement (odstránenie nekrotickej kosti) distálneho femuru;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006j;debridement (odstránenie nekrotickej kosti) pately;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006k;debridement (odstránenie nekrotickej kosti) proximálnej tibie ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006m;debridement (odstránenie nekrotickej kosti) diafyzárnej tibie ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006n;debridement (odstránenie nekrotickej kosti) distálnej tibie ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006p;debridement (odstránenie nekrotickej kosti) proximálnej fibuly ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006q;debridement (odstránenie nekrotickej kosti) diafyzárnej fibuly;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006r;debridement (odstránenie nekrotickej kosti) distálnej fibuly ;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006s;debridement (odstránenie nekrotickej kosti) talu;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006t;debridement (odstránenie nekrotickej kosti) kalkanea;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006u;debridement (odstránenie nekrotickej kosti) tarzálnych kostí;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006v;debridement (odstránenie nekrotickej kosti) metatarzálnych kostí;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006w;debridement (odstránenie nekrotickej kosti) falangov prstov nohy;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006x;debridement (odstránenie nekrotickej kosti) ostatných kostí;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t006z;debridement (odstránenie nekrotickej kosti) skapuly;Trauma a poúrazové stavy ;S02-51;Debridement mäkkých častí pre traumu a poúrazové stavy
5t0080;Odstránenie sekvestrov klavikuly a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0081;Odstránenie sekvestrov proximálneho humeru a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0082;Odstránenie sekvestrov diafyzárneho  humeru a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0083;Odstránenie sekvestrov distálneho humeru a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0084;Odstránenie sekvestrov proximálneho radia a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0085;Odstránenie sekvestrov diafyzárneho radia a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0086;Odstránenie sekvestrov distálneho radia a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0087;Odstránenie sekvestrov proximálnej ulny a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0088;Odstránenie sekvestrov diafyzárnej ulny a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t0089;Odstránenie sekvestrov distálnej ulny a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008a;Odstránenie sekvestrov karpálnych kostí a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008b;Odstránenie sekvestrov metakarpálnych kostí a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008c;Odstránenie sekvestrov falangov prstov ruky a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008d;Odstránenie sekvestrov panvy a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t008e;Odstránenie sekvestrov krčka stehennej kosti a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008f;Odstránenie sekvestrov proximálneho femuru a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008g;Odstránenie sekvestrov diafyzárneho femuru a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008h;Odstránenie sekvestrov distálneho femuru a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008j;Odstránenie sekvestrov pately a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008k;Odstránenie sekvestrov proximálnej tibie a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008m;Odstránenie sekvestrov diafyzárnej tibie a vloženie nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008n;Odstránenie sekvestrov distálnej tibie a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008p;Odstránenie sekvestrov proximálnej fibuly a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008q;Odstránenie sekvestrov diafyzárnej fibuly a vloženie nosiča s liekom ;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008r;Odstránenie sekvestrov distálnej fibuly a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008s;Odstránenie sekvestrov talu a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008t;Odstránenie sekvestrov kalkanea a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008u;Odstránenie sekvestrov tarzálnych kostí a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008v;Odstránenie sekvestrov metatarzálnych kostí a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008w;Odstránenie sekvestrov falangov prstov nohy a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008x;Odstránenie sekvestrov ostatných kostí a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t008z;Odstránenie sekvestrov skapuly a vloženie nosiča s liekom;Trauma a poúrazové stavy ;S02-16;Iné výkony na kostiach pre traumu a poúrazové stavy zložité
5t00x0;Iné septické a aseptické incízie klavikuly;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00x1;Iné septické a aseptické incízie proximálneho humeru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00x2;Iné septické a aseptické incízie diafyzárneho  humeru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00x3;Iné septické a aseptické incízie distálneho humeru;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00x4;Iné septické a aseptické incízie proximálneho radia;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00x5;Iné septické a aseptické incízie diafyzárneho radia ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00x6;Iné septické a aseptické incízie distálneho radia ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00x7;Iné septické a aseptické incízie proximálnej ulny ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00x8;Iné septické a aseptické incízie diafyzárnej ulny ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00x9;Iné septické a aseptické incízie distálnej ulny ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00xa;Iné septické a aseptické incízie karpálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00xb;Iné septické a aseptické incízie metakarpálnych kostí;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00xc;Iné septické a aseptické incízie falangov prstov ruky;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00xd;Iné septické a aseptické incízie panvy;Trauma a poúrazové stavy ;S02-15;Iné výkony na panve pre traumu a poúrazové stavy
5t00xe;Iné septické a aseptické incízie krčka stehennej kosti;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00xf;Iné septické a aseptické incízie proximálneho femuru ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
5t00xg;Iné septické a aseptické incízie diafyzárneho femuru ;Trauma a poúrazové stavy ;S02-48;Iné výkony na kostiach pre traumu a poúrazové stavy
